@timestamp,incident_id,cell_id,enodeb_id,severity,incident_type,affected_subscribers,incident.mttd_minutes,incident.mttr_minutes,root_cause,detection_method,noc_team,vendor,region,resolved,resolution_action,incident_description
2025-09-25 19:48:01.404250,INC-00000001,CELL-000077,ENB-00109,Low,Handover Failure,837,41.878876202112046,235.88794656047378,Configuration Error,NOC Monitoring,NOC-SW,Nokia,Northwest,True,"Remote software patch performed by NOC-SW, cell service restored after 236 minutes","Handover Failure on cell CELL-000077 affecting 837 subscribers, Low severity, detected via NOC Monitoring"
2025-09-25 20:33:01.404250,INC-00000002,CELL-000108,ENB-00144,Medium,Handover Failure,111,1.8726283092433227,38.2688035592976,Transport Issue,ML Anomaly Detection,NOC-C,Nokia,Northeast,True,"On-site technician dispatched, traffic rerouting completed, Transport Issue addressed","Medium incident: Handover Failure in Northeast, root cause Transport Issue, MTTD 1.9min MTTR 38.3min"
2025-09-25 21:18:01.404250,INC-00000003,CELL-000111,ENB-00041,Medium,Configuration Error,838,11.732054778348653,127.02596575775117,Hardware Failure,ML Anomaly Detection,NOC-NW,Nokia,Gulf,False,"Incident investigation in progress, resolution pending","Cell site CELL-000111 experiencing Configuration Error, 838 subscribers impacted, ML Anomaly Detection detection method"
2025-09-25 22:03:01.404250,INC-00000004,CELL-000147,ENB-00057,Medium,Equipment Alarm,652,6.92785041788547,77.51044331324668,Unknown,Subscriber Complaint,NOC-GU,Ericsson,Atlantic,True,"NOC-GU performed traffic rerouting, root cause Unknown mitigated, service normalized","Equipment Alarm incident (Medium) affecting Atlantic region, Unknown identified, resolved"
2025-09-25 22:48:01.404250,INC-00000005,CELL-000003,ENB-00038,Medium,Capacity Congestion,621,12.794954482371244,194.4292529905862,Vendor Issue,ML Anomaly Detection,NOC-SE,Nokia,South Central,False,"Incident investigation in progress, resolution pending","Nokia equipment Capacity Congestion on CELL-000003, 621 users affected, resolved via hardware replacement"
2025-09-25 23:33:01.404250,INC-00000006,CELL-000056,ENB-00068,Medium,Transport Issue,457,42.585006746005554,73.9883397674733,Software Bug,ML Anomaly Detection,NOC-MA,Nokia,South Central,True,"Remote equipment reset performed by NOC-MA, cell service restored after 74 minutes","Transport Issue on cell CELL-000056 affecting 457 subscribers, Medium severity, detected via ML Anomaly Detection"
2025-09-26 00:18:01.404250,INC-00000007,CELL-000021,ENB-00025,High,Degraded Performance,1361,8.3493247481628,140.93503636956302,Environmental,Automated Health Check,NOC-MA,Nokia,Mountain,True,"On-site technician dispatched, equipment reset completed, Environmental addressed","High incident: Degraded Performance in Mountain, root cause Environmental, MTTD 8.3min MTTR 140.9min"
2025-09-26 01:03:01.404250,INC-00000008,CELL-000128,ENB-00082,Low,Transport Issue,1488,42.175357112257544,33.39149901395428,Software Bug,Automated Health Check,NOC-MT,Samsung,Southeast,True,"Automated recovery procedure executed, software patch applied, monitoring for recurrence","Cell site CELL-000128 experiencing Transport Issue, 1488 subscribers impacted, Automated Health Check detection method"
2025-09-26 01:48:01.404250,INC-00000009,CELL-000021,ENB-00092,Medium,Degraded Performance,326,42.925257252356936,62.76866392502547,Transport Issue,Threshold Alert,NOC-NC,Samsung,Great Lakes,False,"Incident investigation in progress, resolution pending","Degraded Performance incident (Medium) affecting Great Lakes region, Transport Issue identified, ongoing"
2025-09-26 02:33:01.404250,INC-00000010,CELL-000028,ENB-00050,Medium,Degraded Performance,14,16.237571904921754,111.57468528803011,Power Failure,Threshold Alert,NOC-C,Nokia,Central,True,"Vendor support engaged, alarm clearance implemented, Power Failure resolved permanently","Nokia equipment Degraded Performance on CELL-000028, 14 users affected, resolved via alarm clearance"
