application_id,application_name,business_unit,criticality_tier,workload_category,sla_target_ms,min_tps_required,cost_center,migration_priority,migration_status,owner_team,application_characteristics
app-0001,RetailBanking-DataWarehouse-app-0001,Retail Banking,Tier3-Medium,Data Warehouse,159.32,65.43,CC-1664,P1-High,Not Started,Retail-Engineering,Enterprise Data Warehouse platform serving Retail Banking with Not Started migration to AMD infrastructure
app-0002,RetailBanking-Real-timeStreaming-app-0002,Retail Banking,Tier2-High,Real-time Streaming,35.16,3667.72,CC-5651,P1-High,In Progress,Retail-Engineering,Real-time Streaming application for Retail Banking requiring Tier2-High availability and sub-35ms latency
app-0003,AssetManagement-PaymentProcessing-app-0003,Asset Management,Tier4-Low,Payment Processing,738.05,4931.47,CC-9817,P0-Immediate,Not Started,Asset-Engineering,Payment Processing application for Asset Management requiring Tier4-Low availability and sub-738ms latency
app-0004,RetailBanking-DataWarehouse-app-0004,Retail Banking,Tier4-Low,Data Warehouse,739.44,104.7,CC-2163,P2-Medium,Completed,Retail-Engineering,High-throughput Data Warehouse application optimized for real-time processing and low-latency execution
app-0005,RiskManagement-BatchProcessing-app-0005,Risk Management,Tier4-Low,Batch Processing,619.25,3577.53,CC-4834,P1-High,Not Started,Risk-Engineering,Enterprise Batch Processing platform serving Risk Management with Not Started migration to AMD infrastructure
app-0006,RetailBanking-TradingPlatform-app-0006,Retail Banking,Tier4-Low,Trading Platform,645.59,474.34,CC-1600,P3-Low,Completed,Retail-Engineering,Trading Platform application for Retail Banking requiring Tier4-Low availability and sub-645ms latency
app-0007,AssetManagement-BatchProcessing-app-0007,Asset Management,Tier3-Medium,Batch Processing,118.16,891.36,CC-4583,P0-Immediate,Not Started,Asset-Engineering,High-throughput Batch Processing application optimized for real-time processing and low-latency execution
app-0008,AssetManagement-PaymentProcessing-app-0008,Asset Management,Tier4-Low,Payment Processing,388.23,618.25,CC-2286,P0-Immediate,Completed,Asset-Engineering,Enterprise Payment Processing platform serving Asset Management with Completed migration to AMD infrastructure
app-0009,AssetManagement-Real-timeStreaming-app-0009,Asset Management,Tier2-High,Real-time Streaming,28.77,4701.94,CC-5657,P2-Medium,Not Started,Asset-Engineering,Enterprise Real-time Streaming platform serving Asset Management with Not Started migration to AMD infrastructure
app-0010,Trading-PaymentProcessing-app-0010,Trading,Tier1-Critical,Payment Processing,12.01,2238.11,CC-6198,P3-Low,Completed,Trading-Engineering,Payment Processing application for Trading requiring Tier1-Critical availability and sub-12ms latency
app-0011,InvestmentBanking-DataWarehouse-app-0011,Investment Banking,Tier2-High,Data Warehouse,44.55,214.36,CC-3547,P0-Immediate,Not Started,Investment-Engineering,Mission-critical Data Warehouse system processing 214 TPS with strict regulatory compliance requirements
app-0012,InvestmentBanking-TradingPlatform-app-0012,Investment Banking,Tier3-Medium,Trading Platform,187.49,2228.24,CC-8106,P2-Medium,Not Started,Investment-Engineering,Trading Platform application for Investment Banking requiring Tier3-Medium availability and sub-187ms latency
app-0013,Treasury-Real-timeStreaming-app-0013,Treasury,Tier1-Critical,Real-time Streaming,10.09,266.25,CC-4616,P0-Immediate,Not Started,Treasury-Engineering,Real-time Streaming application for Treasury requiring Tier1-Critical availability and sub-10ms latency
app-0014,InvestmentBanking-DataWarehouse-app-0014,Investment Banking,Tier3-Medium,Data Warehouse,69.63,3549.83,CC-5462,P0-Immediate,Not Started,Investment-Engineering,Enterprise Data Warehouse platform serving Investment Banking with Not Started migration to AMD infrastructure
app-0015,RiskManagement-Real-timeStreaming-app-0015,Risk Management,Tier3-Medium,Real-time Streaming,132.23,3189.9,CC-5362,P2-Medium,Not Started,Risk-Engineering,Mission-critical Real-time Streaming system processing 3189 TPS with strict regulatory compliance requirements
app-0016,RiskManagement-BatchProcessing-app-0016,Risk Management,Tier1-Critical,Batch Processing,9.93,4852.4,CC-2157,P2-Medium,Not Started,Risk-Engineering,High-throughput Batch Processing application optimized for real-time processing and low-latency execution
app-0017,AssetManagement-TradingPlatform-app-0017,Asset Management,Tier4-Low,Trading Platform,442.95,1742.66,CC-2905,P2-Medium,In Progress,Asset-Engineering,High-throughput Trading Platform application optimized for real-time processing and low-latency execution
app-0018,InvestmentBanking-TradingPlatform-app-0018,Investment Banking,Tier1-Critical,Trading Platform,9.05,2781.19,CC-2153,P1-High,In Progress,Investment-Engineering,High-throughput Trading Platform application optimized for real-time processing and low-latency execution
app-0019,AssetManagement-DataWarehouse-app-0019,Asset Management,Tier1-Critical,Data Warehouse,7.27,387.39,CC-8060,P3-Low,Planning,Asset-Engineering,Enterprise Data Warehouse platform serving Asset Management with Planning migration to AMD infrastructure
app-0020,Trading-Real-timeStreaming-app-0020,Trading,Tier2-High,Real-time Streaming,25.06,2039.95,CC-8261,P2-Medium,Not Started,Trading-Engineering,High-throughput Real-time Streaming application optimized for real-time processing and low-latency execution
app-0021,Trading-DataWarehouse-app-0021,Trading,Tier4-Low,Data Warehouse,294.7,1778.17,CC-2072,P0-Immediate,In Progress,Trading-Engineering,High-throughput Data Warehouse application optimized for real-time processing and low-latency execution
app-0022,Trading-PaymentProcessing-app-0022,Trading,Tier4-Low,Payment Processing,418.46,4117.08,CC-2366,P2-Medium,Not Started,Trading-Engineering,High-throughput Payment Processing application optimized for real-time processing and low-latency execution
app-0023,RiskManagement-PaymentProcessing-app-0023,Risk Management,Tier3-Medium,Payment Processing,99.73,296.45,CC-1568,P1-High,Not Started,Risk-Engineering,High-throughput Payment Processing application optimized for real-time processing and low-latency execution
app-0024,RetailBanking-Real-timeStreaming-app-0024,Retail Banking,Tier3-Medium,Real-time Streaming,164.38,976.65,CC-8617,P1-High,Not Started,Retail-Engineering,Enterprise Real-time Streaming platform serving Retail Banking with Not Started migration to AMD infrastructure
app-0025,InvestmentBanking-PaymentProcessing-app-0025,Investment Banking,Tier3-Medium,Payment Processing,142.18,4211.05,CC-9865,P2-Medium,In Progress,Investment-Engineering,Enterprise Payment Processing platform serving Investment Banking with In Progress migration to AMD infrastructure
app-0026,RiskManagement-PaymentProcessing-app-0026,Risk Management,Tier1-Critical,Payment Processing,17.69,2445.15,CC-4909,P1-High,In Progress,Risk-Engineering,Mission-critical Payment Processing system processing 2445 TPS with strict regulatory compliance requirements
app-0027,Trading-DataWarehouse-app-0027,Trading,Tier3-Medium,Data Warehouse,92.74,1796.73,CC-4021,P0-Immediate,In Progress,Trading-Engineering,Enterprise Data Warehouse platform serving Trading with In Progress migration to AMD infrastructure
