content_id,title,description,content_type,genre,subgenres,themes,narrative_complexity,tone,release_year,runtime_minutes,rating,cast,director,studio,availability
CONTENT-000000,The Hidden Legacy,A compelling documentary that explores themes of addiction recovery with nuanced storytelling and layered characters,Series,Documentary,General,"Parallel universes,Historical drama",Complex,Whimsical,2017,120,PG,"Michael Garcia,Lisa Jones,Lisa Brown,Michael Miller,Jennifer Jones",Jennifer Jones,Netflix Studios,Live
CONTENT-000001,An Last Chronicles,A compelling horror that explores themes of love triangle with intense storytelling and memorable characters,Movie,Horror,General,"Generational conflict,Good vs evil,Coming of age,Social justice",Complex,Uplifting,2021,60,PG-13,"Robert Garcia,Lisa Jones,Robert Davis,James Johnson,Sarah Williams",David Williams,Netflix Studios,Live
CONTENT-000002,An Final Kingdom,A compelling family that explores themes of love triangle with nuanced storytelling and complex characters,Movie,Family,General,"Redemption arc,Moral ambiguity,Identity crisis",Complex,Light,2022,120,TV-MA,"Sarah Smith,Robert Miller,Sarah Garcia",Robert Smith,NBC Universal,Premium
CONTENT-000003, Fallen Kingdom,A compelling scifi that explores themes of coming of age with gripping storytelling and dynamic characters,Series,SciFi,"Space opera,Dystopian","Betrayal,Post-apocalyptic,Good vs evil",Complex,Uplifting,2024,90,R,"Lisa Brown,Sarah Garcia,David Smith",Emily Johnson,Paramount,On-demand
CONTENT-000004,A Dark Destiny,A compelling comedy that explores themes of mental health with powerful storytelling and complex characters,Sports,Comedy,"Satire,Sitcom","Addiction recovery,Political power,Redemption arc",Complex,Light,2015,60,R,"Jennifer Jones,Jennifer Garcia,Emily Miller,Sarah Williams",Lisa Jones,NBC Universal,Basic
CONTENT-000005, Hidden Destiny,A compelling drama that explores themes of artificial intelligence with powerful storytelling and complex characters,Movie,Drama,"Political,Legal","Redemption arc,Friendship bonds,Coming of age,Historical drama",Complex,Dark,2024,90,G,"Sarah Garcia,Emily Williams,David Williams,Robert Miller,David Miller",James Davis,Paramount,On-demand
CONTENT-000006,The Lost Saga,A compelling romance that explores themes of good vs evil with gripping storytelling and memorable characters,Special,Romance,General,"Artificial intelligence,Social justice,Generational conflict",Moderate,Serious,2022,45,PG,"James Garcia,Robert Jones,Sarah Jones,Jennifer Brown",Emily Brown,Universal,On-demand
CONTENT-000007,An Fallen Chronicles,A compelling drama that explores themes of revenge quest with intense storytelling and dynamic characters,Documentary,Drama,"Historical,Medical","Post-apocalyptic,Historical drama",Moderate,Light,2020,45,PG,"Lisa Williams,David Johnson,Robert Williams,Robert Jones",Emily Garcia,NBC Universal,On-demand
CONTENT-000008,A Final Empire,A compelling romance that explores themes of post-apocalyptic with nuanced storytelling and layered characters,Series,Romance,General,"Political power,Friendship bonds",Moderate,Whimsical,2019,90,R,"Emily Jones,Michael Williams,Robert Smith",Lisa Smith,HBO Max,Premium
CONTENT-000009,A Lost Empire,A compelling mystery that explores themes of social justice with gripping storytelling and complex characters,Documentary,Mystery,Contemporary,"Survival,Revenge quest,Moral ambiguity",Moderate,Whimsical,2015,90,G,"David Johnson,Robert Garcia,Jennifer Williams,Lisa Williams",Emily Smith,Universal,Premium
CONTENT-000010,An Last Empire,A compelling drama that explores themes of family dynamics with heartfelt storytelling and layered characters,Sports,Drama,"Legal,Medical","Moral ambiguity,Generational conflict,Redemption arc,Family dynamics",Moderate,Light,2019,45,PG-13,"Jennifer Williams,Jennifer Miller,Lisa Garcia",Robert Davis,Sony,Basic
