experiment_id,experiment_name,retrieval_strategy,embedding_model,query_template,test_query,precision_at_5,recall_at_10,mrr_score,latency_ms,experiment_date,engineer_notes,deployed_to_production
EXP000001,Experiment 1 - keyword,semantic,e5-large-v2,Template 10,Find approved logos suitable for digital and print use,0.739,0.445,0.783,2226,2025-09-10 15:05:07.853910,Testing performance improvements,False
EXP000002,Experiment 2 - hybrid,filtered,gte-large,Template 4,Find approved logos suitable for digital and print use,0.529,0.654,0.661,576,2025-09-10 16:05:07.853910,Testing performance improvements,True
EXP000003,Experiment 3 - semantic,multi_step,all-MiniLM-L6-v2,Template 39,Find approved logos suitable for digital and print use,0.854,0.822,0.524,323,2025-09-10 17:05:07.853910,Testing relevance improvements,True
EXP000004,Experiment 4 - hybrid,filtered,all-MiniLM-L6-v2,Template 14,Find approved logos suitable for digital and print use,0.735,0.646,0.931,813,2025-09-10 18:05:07.853910,Testing relevance improvements,False
EXP000005,Experiment 5 - multi_step,composed,bge-large-en,Template 31,Search for campaign assets tagged with sustainability,0.481,0.45,0.935,1846,2025-09-10 19:05:07.853910,Testing relevance improvements,True
EXP000006,Experiment 6 - multi_step,hybrid,e5-large-v2,Template 18,Find marketing assets for Q4 campaign with high engagement metrics,0.387,0.64,0.514,1112,2025-09-10 20:05:07.853910,Testing accuracy improvements,False
EXP000007,Experiment 7 - filtered,multi_step,e5-large-v2,Template 34,Locate product demonstration videos from last quarter,0.686,0.436,0.527,1081,2025-09-10 21:05:07.853910,Testing relevance improvements,False
EXP000008,Experiment 8 - keyword,multi_step,text-embedding-ada-002,Template 2,Search for brand-compliant social media templates,0.581,0.765,0.975,1822,2025-09-10 22:05:07.853910,Testing relevance improvements,False
EXP000009,Experiment 9 - hybrid,multi_step,text-embedding-ada-002,Template 17,Locate product demonstration videos from last quarter,0.915,0.486,0.839,2220,2025-09-10 23:05:07.853910,Testing accuracy improvements,False
EXP000010,Experiment 10 - hybrid,keyword,e5-large-v2,Template 9,Find approved logos suitable for digital and print use,0.371,0.538,0.828,1506,2025-09-11 00:05:07.853910,Testing accuracy improvements,False
EXP000011,Experiment 11 - multi_step,filtered,text-embedding-ada-002,Template 40,Search for campaign assets tagged with sustainability,0.804,0.717,0.725,2829,2025-09-11 01:05:07.853910,Testing accuracy improvements,True
EXP000012,Experiment 12 - filtered,semantic,gte-large,Template 15,Find approved logos suitable for digital and print use,0.364,0.642,0.604,1244,2025-09-11 02:05:07.853910,Testing accuracy improvements,True
EXP000013,Experiment 13 - multi_step,hybrid,e5-large-v2,Template 35,Find marketing assets for Q4 campaign with high engagement metrics,0.651,0.672,0.552,1444,2025-09-11 03:05:07.853910,Testing latency improvements,False
EXP000014,Experiment 14 - hybrid,filtered,bge-large-en,Template 32,Find approved logos suitable for digital and print use,0.614,0.475,0.724,811,2025-09-11 04:05:07.853910,Testing relevance improvements,False
EXP000015,Experiment 15 - composed,keyword,all-MiniLM-L6-v2,Template 19,Find approved logos suitable for digital and print use,0.597,0.472,0.91,197,2025-09-11 05:05:07.853910,Testing accuracy improvements,False
EXP000016,Experiment 16 - hybrid,filtered,e5-large-v2,Template 17,Search for brand-compliant social media templates,0.799,0.45,0.961,2887,2025-09-11 06:05:07.853910,Testing relevance improvements,False
EXP000017,Experiment 17 - keyword,multi_step,gte-large,Template 36,Search for campaign assets tagged with sustainability,0.36,0.71,0.69,1639,2025-09-11 07:05:07.853910,Testing performance improvements,True
EXP000018,Experiment 18 - semantic,filtered,all-MiniLM-L6-v2,Template 15,Search for campaign assets tagged with sustainability,0.676,0.853,0.604,1868,2025-09-11 08:05:07.853910,Testing performance improvements,True
EXP000019,Experiment 19 - composed,semantic,e5-large-v2,Template 38,Search for brand-compliant social media templates,0.411,0.7,0.94,2026,2025-09-11 09:05:07.853910,Testing accuracy improvements,False
EXP000020,Experiment 20 - multi_step,multi_step,all-MiniLM-L6-v2,Template 17,Find approved logos suitable for digital and print use,0.531,0.697,0.842,192,2025-09-11 10:05:07.853910,Testing relevance improvements,False
EXP000021,Experiment 21 - hybrid,hybrid,instructor-xl,Template 35,Find marketing assets for Q4 campaign with high engagement metrics,0.472,0.897,0.581,1138,2025-09-11 11:05:07.853910,Testing accuracy improvements,True
EXP000022,Experiment 22 - hybrid,composed,e5-large-v2,Template 29,Search for campaign assets tagged with sustainability,0.823,0.516,0.634,259,2025-09-11 12:05:07.853910,Testing accuracy improvements,True
EXP000023,Experiment 23 - multi_step,filtered,e5-large-v2,Template 32,Locate product demonstration videos from last quarter,0.372,0.683,0.606,229,2025-09-11 13:05:07.853910,Testing performance improvements,True
EXP000024,Experiment 24 - keyword,semantic,all-MiniLM-L6-v2,Template 10,Search for campaign assets tagged with sustainability,0.577,0.527,0.735,1994,2025-09-11 14:05:07.853910,Testing accuracy improvements,False
EXP000025,Experiment 25 - multi_step,multi_step,e5-large-v2,Template 35,Search for brand-compliant social media templates,0.345,0.848,0.763,407,2025-09-11 15:05:07.853910,Testing latency improvements,False
EXP000026,Experiment 26 - semantic,semantic,instructor-xl,Template 2,Search for campaign assets tagged with sustainability,0.411,0.873,0.791,2276,2025-09-11 16:05:07.853910,Testing relevance improvements,True
EXP000027,Experiment 27 - composed,keyword,all-MiniLM-L6-v2,Template 20,Find approved logos suitable for digital and print use,0.326,0.667,0.601,2970,2025-09-11 17:05:07.853910,Testing performance improvements,False
EXP000028,Experiment 28 - hybrid,keyword,all-MiniLM-L6-v2,Template 2,Search for brand-compliant social media templates,0.477,0.444,0.69,2810,2025-09-11 18:05:07.853910,Testing relevance improvements,False
EXP000029,Experiment 29 - keyword,filtered,all-MiniLM-L6-v2,Template 24,Find marketing assets for Q4 campaign with high engagement metrics,0.539,0.693,0.624,2795,2025-09-11 19:05:07.853910,Testing relevance improvements,False
EXP000030,Experiment 30 - composed,hybrid,all-MiniLM-L6-v2,Template 34,Find approved logos suitable for digital and print use,0.658,0.86,0.703,2996,2025-09-11 20:05:07.853910,Testing accuracy improvements,False
EXP000031,Experiment 31 - multi_step,composed,instructor-xl,Template 12,Search for brand-compliant social media templates,0.674,0.896,0.593,1717,2025-09-11 21:05:07.853910,Testing latency improvements,False
EXP000032,Experiment 32 - multi_step,hybrid,gte-large,Template 7,Locate product demonstration videos from last quarter,0.482,0.722,0.929,591,2025-09-11 22:05:07.853910,Testing performance improvements,False
EXP000033,Experiment 33 - hybrid,hybrid,e5-large-v2,Template 10,Search for campaign assets tagged with sustainability,0.481,0.773,0.808,457,2025-09-11 23:05:07.853910,Testing latency improvements,True
EXP000034,Experiment 34 - keyword,composed,text-embedding-ada-002,Template 20,Locate product demonstration videos from last quarter,0.63,0.659,0.592,1364,2025-09-12 00:05:07.853910,Testing accuracy improvements,False
EXP000035,Experiment 35 - semantic,filtered,e5-large-v2,Template 32,Search for campaign assets tagged with sustainability,0.745,0.784,0.549,1734,2025-09-12 01:05:07.853910,Testing accuracy improvements,False
EXP000036,Experiment 36 - semantic,hybrid,e5-large-v2,Template 29,Find approved logos suitable for digital and print use,0.446,0.813,0.804,410,2025-09-12 02:05:07.853910,Testing latency improvements,False
EXP000037,Experiment 37 - semantic,semantic,e5-large-v2,Template 37,Find approved logos suitable for digital and print use,0.643,0.701,0.528,1055,2025-09-12 03:05:07.853910,Testing relevance improvements,False
EXP000038,Experiment 38 - hybrid,filtered,bge-large-en,Template 9,Locate product demonstration videos from last quarter,0.738,0.811,0.698,2108,2025-09-12 04:05:07.853910,Testing performance improvements,False
EXP000039,Experiment 39 - composed,semantic,instructor-xl,Template 6,Find approved logos suitable for digital and print use,0.929,0.465,0.851,1830,2025-09-12 05:05:07.853910,Testing latency improvements,False
EXP000040,Experiment 40 - multi_step,composed,gte-large,Template 12,Search for brand-compliant social media templates,0.364,0.532,0.516,472,2025-09-12 06:05:07.853910,Testing performance improvements,False
EXP000041,Experiment 41 - hybrid,hybrid,instructor-xl,Template 35,Find approved logos suitable for digital and print use,0.815,0.623,0.742,1668,2025-09-12 07:05:07.853910,Testing relevance improvements,False
EXP000042,Experiment 42 - multi_step,keyword,text-embedding-ada-002,Template 19,Search for campaign assets tagged with sustainability,0.836,0.687,0.587,2233,2025-09-12 08:05:07.853910,Testing relevance improvements,False
EXP000043,Experiment 43 - composed,composed,all-MiniLM-L6-v2,Template 36,Search for brand-compliant social media templates,0.513,0.652,0.618,600,2025-09-12 09:05:07.853910,Testing accuracy improvements,False
EXP000044,Experiment 44 - hybrid,multi_step,gte-large,Template 38,Find marketing assets for Q4 campaign with high engagement metrics,0.411,0.693,0.846,2242,2025-09-12 10:05:07.853910,Testing relevance improvements,False
EXP000045,Experiment 45 - semantic,semantic,bge-large-en,Template 1,Search for campaign assets tagged with sustainability,0.837,0.576,0.831,2503,2025-09-12 11:05:07.853910,Testing accuracy improvements,True
EXP000046,Experiment 46 - keyword,semantic,gte-large,Template 24,Find approved logos suitable for digital and print use,0.49,0.887,0.754,316,2025-09-12 12:05:07.853910,Testing accuracy improvements,False
EXP000047,Experiment 47 - semantic,composed,all-MiniLM-L6-v2,Template 7,Search for brand-compliant social media templates,0.489,0.695,0.922,783,2025-09-12 13:05:07.853910,Testing relevance improvements,True
EXP000048,Experiment 48 - semantic,multi_step,text-embedding-ada-002,Template 5,Find marketing assets for Q4 campaign with high engagement metrics,0.888,0.454,0.65,1753,2025-09-12 14:05:07.853910,Testing latency improvements,True
EXP000049,Experiment 49 - filtered,keyword,bge-large-en,Template 33,Search for brand-compliant social media templates,0.654,0.677,0.933,691,2025-09-12 15:05:07.853910,Testing latency improvements,True
EXP000050,Experiment 50 - hybrid,composed,gte-large,Template 40,Search for brand-compliant social media templates,0.64,0.861,0.82,1847,2025-09-12 16:05:07.853910,Testing relevance improvements,False
EXP000051,Experiment 51 - multi_step,multi_step,gte-large,Template 17,Search for brand-compliant social media templates,0.773,0.535,0.551,2668,2025-09-12 17:05:07.853910,Testing performance improvements,False
EXP000052,Experiment 52 - hybrid,composed,all-MiniLM-L6-v2,Template 29,Find marketing assets for Q4 campaign with high engagement metrics,0.437,0.422,0.942,2748,2025-09-12 18:05:07.853910,Testing performance improvements,True
EXP000053,Experiment 53 - hybrid,semantic,gte-large,Template 25,Find approved logos suitable for digital and print use,0.655,0.85,0.529,1177,2025-09-12 19:05:07.853910,Testing accuracy improvements,False
EXP000054,Experiment 54 - hybrid,multi_step,instructor-xl,Template 36,Find approved logos suitable for digital and print use,0.355,0.542,0.958,1532,2025-09-12 20:05:07.853910,Testing accuracy improvements,False
EXP000055,Experiment 55 - keyword,semantic,gte-large,Template 7,Search for campaign assets tagged with sustainability,0.727,0.767,0.776,1984,2025-09-12 21:05:07.853910,Testing performance improvements,False
EXP000056,Experiment 56 - keyword,keyword,text-embedding-ada-002,Template 32,Locate product demonstration videos from last quarter,0.307,0.744,0.626,1350,2025-09-12 22:05:07.853910,Testing latency improvements,False
EXP000057,Experiment 57 - hybrid,keyword,text-embedding-ada-002,Template 22,Search for brand-compliant social media templates,0.419,0.698,0.703,2638,2025-09-12 23:05:07.853910,Testing relevance improvements,True
EXP000058,Experiment 58 - hybrid,filtered,all-MiniLM-L6-v2,Template 4,Find approved logos suitable for digital and print use,0.52,0.726,0.576,287,2025-09-13 00:05:07.853910,Testing relevance improvements,True
EXP000059,Experiment 59 - hybrid,semantic,instructor-xl,Template 12,Search for campaign assets tagged with sustainability,0.429,0.88,0.51,2147,2025-09-13 01:05:07.853910,Testing relevance improvements,False
EXP000060,Experiment 60 - composed,multi_step,all-MiniLM-L6-v2,Template 27,Search for brand-compliant social media templates,0.803,0.449,0.52,2681,2025-09-13 02:05:07.853910,Testing relevance improvements,False
EXP000061,Experiment 61 - multi_step,filtered,e5-large-v2,Template 27,Find marketing assets for Q4 campaign with high engagement metrics,0.569,0.803,0.661,1268,2025-09-13 03:05:07.853910,Testing relevance improvements,True
EXP000062,Experiment 62 - multi_step,composed,gte-large,Template 23,Find approved logos suitable for digital and print use,0.937,0.462,0.705,1190,2025-09-13 04:05:07.853910,Testing relevance improvements,False
EXP000063,Experiment 63 - composed,keyword,all-MiniLM-L6-v2,Template 39,Locate product demonstration videos from last quarter,0.616,0.717,0.766,1733,2025-09-13 05:05:07.853910,Testing performance improvements,False
EXP000064,Experiment 64 - semantic,filtered,all-MiniLM-L6-v2,Template 26,Search for campaign assets tagged with sustainability,0.594,0.544,0.786,249,2025-09-13 06:05:07.853910,Testing latency improvements,True
EXP000065,Experiment 65 - semantic,semantic,text-embedding-ada-002,Template 40,Locate product demonstration videos from last quarter,0.374,0.508,0.618,1552,2025-09-13 07:05:07.853910,Testing latency improvements,False
EXP000066,Experiment 66 - composed,hybrid,bge-large-en,Template 6,Find marketing assets for Q4 campaign with high engagement metrics,0.544,0.501,0.939,270,2025-09-13 08:05:07.853910,Testing performance improvements,False
EXP000067,Experiment 67 - filtered,hybrid,bge-large-en,Template 38,Find marketing assets for Q4 campaign with high engagement metrics,0.541,0.46,0.697,1572,2025-09-13 09:05:07.853910,Testing performance improvements,False
EXP000068,Experiment 68 - keyword,composed,all-MiniLM-L6-v2,Template 14,Locate product demonstration videos from last quarter,0.945,0.53,0.723,1622,2025-09-13 10:05:07.853910,Testing accuracy improvements,True
EXP000069,Experiment 69 - hybrid,hybrid,text-embedding-ada-002,Template 31,Search for campaign assets tagged with sustainability,0.585,0.465,0.744,2306,2025-09-13 11:05:07.853910,Testing relevance improvements,False
EXP000070,Experiment 70 - composed,composed,text-embedding-ada-002,Template 5,Locate product demonstration videos from last quarter,0.587,0.714,0.557,707,2025-09-13 12:05:07.853910,Testing accuracy improvements,False
EXP000071,Experiment 71 - filtered,composed,all-MiniLM-L6-v2,Template 30,Locate product demonstration videos from last quarter,0.869,0.727,0.786,381,2025-09-13 13:05:07.853910,Testing latency improvements,False
EXP000072,Experiment 72 - filtered,hybrid,instructor-xl,Template 31,Search for brand-compliant social media templates,0.479,0.845,0.848,2699,2025-09-13 14:05:07.853910,Testing accuracy improvements,False
EXP000073,Experiment 73 - hybrid,filtered,instructor-xl,Template 38,Locate product demonstration videos from last quarter,0.945,0.838,0.973,2455,2025-09-13 15:05:07.853910,Testing relevance improvements,False
