asset_id,asset_name,asset_description,asset_type,brand_name,customer_account_id,tags,file_format,created_date,last_modified,usage_count,approval_status,content_category
ASSET00000001,Brand Guidelines 1,"Complete brand identity guidelines including logos, colors, and usage rules",document,Brand Beta,CUST000111,"campaign,brand,product",jpg,2025-09-15 19:43:06.853910,2025-10-27 16:38:03.853910,417,approved,marketing
ASSET00000002,Video Ad 2,Eye-catching campaign banner optimized for web and mobile platforms,video,Brand Delta,CUST000168,"brand,campaign,social",psd,2025-08-22 18:26:15.853910,2025-09-17 11:19:36.853910,54,approved,brand_guidelines
ASSET00000003,Marketing Template 3,Dynamic video advertisement highlighting product value proposition,template,Brand Omega,CUST000049,digital,mp4,2025-08-26 21:00:15.853910,2025-10-12 06:56:33.853910,176,draft,internal
ASSET00000004,Email Header 4,Event promotional poster with compelling visuals and clear call-to-action,template,Brand Alpha,CUST000139,campaign,jpg,2025-07-31 06:52:17.853910,2025-10-27 00:45:19.853910,116,approved,product
ASSET00000005,Marketing Template 5,Event promotional poster with compelling visuals and clear call-to-action,template,Brand Omega,CUST000187,"brand,marketing,digital",ai,2025-11-07 14:18:43.853910,2025-09-26 13:33:13.853910,273,approved,marketing
ASSET00000006,Email Header 6,"Complete brand identity guidelines including logos, colors, and usage rules",audio,Brand Delta,CUST000101,"marketing,digital,product",pdf,2025-07-22 05:40:19.853910,2025-10-28 00:56:06.853910,33,pending,campaign
ASSET00000007,Brand Guidelines 7,Eye-catching campaign banner optimized for web and mobile platforms,image,Brand Omega,CUST000106,"digital,social,product",mp4,2025-10-13 18:45:01.853910,2025-08-09 17:23:02.853910,443,approved,brand_guidelines
ASSET00000008,Event Poster 8,Professional product photography showcasing key features and benefits,template,Brand Omega,CUST000046,"digital,brand,social",png,2025-07-25 11:21:00.853910,2025-08-12 02:47:41.853910,305,approved,internal
ASSET00000009,Marketing Template 9,Email header design optimized for various email clients and devices,image,Brand Delta,CUST000106,"marketing,product",psd,2025-10-23 19:47:38.853910,2025-10-14 08:07:31.853910,430,approved,brand_guidelines
ASSET00000010,Brand Guidelines 10,Eye-catching campaign banner optimized for web and mobile platforms,audio,Brand Delta,CUST000092,"campaign,marketing",ai,2025-09-17 01:12:53.853910,2025-11-05 03:52:46.853910,277,draft,product
ASSET00000011,Campaign Banner 11,"Complete brand identity guidelines including logos, colors, and usage rules",audio,Brand Delta,CUST000038,"marketing,campaign",pdf,2025-08-08 01:38:56.853910,2025-08-05 18:05:43.853910,132,approved,social
