product_id,product_name,product_category,product_subcategory,unit_price,brand,product_description
PROD000001,HomeComfort Accessories Pro,Clothing,Accessories,12.46,BeautyGlow,Luxury Accessories by PlayFun for discerning customers seeking excellence
PROD000002,PlayFun Educational Toys Standard,Toys & Games,Educational Toys,5.13,ReadWell,"Premium Educational Toys designed for everyday use, brought to you by VitalCare"
PROD000003,VitalCare Parts Plus,Automotive,Parts,51.49,ValueBrand,High-quality Parts from StyleMax with excellent durability and performance
PROD000004,TechPro Furniture Standard,Home & Garden,Furniture,29.44,ActiveLife,High-quality Furniture from TechPro with excellent durability and performance
PROD000005,ActiveLife Dolls Plus,Toys & Games,Dolls,49.34,ReadWell,High-quality Dolls from ActiveLife with excellent durability and performance
PROD000006,FreshChoice Fragrances Standard,Beauty & Personal Care,Fragrances,76.25,HomeComfort,Affordable Fragrances from ValueBrand with great value and reliability
PROD000007,PlayFun Vitamins Premium,Health & Wellness,Vitamins,237.81,TechPro,Luxury Vitamins by FreshChoice for discerning customers seeking excellence
PROD000008,AutoExpert Non-Fiction Plus,Books & Media,Non-Fiction,19.51,BeautyGlow,VitalCare's bestselling Non-Fiction featuring innovative design and superior quality
PROD000009,TechPro Athletic Wear Plus,Sports & Outdoors,Athletic Wear,17.08,TechPro,Luxury Athletic Wear by TechPro for discerning customers seeking excellence
PROD000010,ValueBrand Fitness Trackers Premium,Health & Wellness,Fitness Trackers,44.87,AutoExpert,Affordable Fitness Trackers from HomeComfort with great value and reliability
PROD000011,ValueBrand Pantry Staples Elite,Food & Beverages,Pantry Staples,9.45,AutoExpert,"Premium Pantry Staples designed for everyday use, brought to you by ValueBrand"
PROD000012,ValueBrand Skincare Standard,Beauty & Personal Care,Skincare,84.77,AutoExpert,VitalCare's bestselling Skincare featuring innovative design and superior quality
PROD000013,FreshChoice Bikes Pro,Sports & Outdoors,Bikes,8.65,StyleMax,Affordable Bikes from ReadWell with great value and reliability
PROD000014,PlayFun Makeup Standard,Beauty & Personal Care,Makeup,86.08,FreshChoice,Luxury Makeup by BeautyGlow for discerning customers seeking excellence
PROD000015,ValueBrand Skincare Plus,Beauty & Personal Care,Skincare,16.78,VitalCare,"Premium Skincare designed for everyday use, brought to you by StyleMax"
PROD000016,ReadWell Music Pro,Books & Media,Music,23.2,VitalCare,Luxury Music by StyleMax for discerning customers seeking excellence
PROD000017,AutoExpert Bath & Body Pro,Beauty & Personal Care,Bath & Body,5.22,StyleMax,Affordable Bath & Body from PlayFun with great value and reliability
PROD000018,StyleMax Decor Elite,Home & Garden,Decor,30.1,PlayFun,High-quality Decor from ValueBrand with excellent durability and performance
PROD000019,HomeComfort Puzzles Standard,Toys & Games,Puzzles,89.15,ReadWell,FreshChoice's bestselling Puzzles featuring innovative design and superior quality
PROD000020,ActiveLife Non-Fiction Elite,Books & Media,Non-Fiction,14.36,AutoExpert,StyleMax's bestselling Non-Fiction featuring innovative design and superior quality
PROD000021,ReadWell Non-Fiction Premium,Books & Media,Non-Fiction,80.65,TechPro,Luxury Non-Fiction by FreshChoice for discerning customers seeking excellence
PROD000022,ReadWell Headphones Premium,Electronics,Headphones,11.88,AutoExpert,"Premium Headphones designed for everyday use, brought to you by FreshChoice"
PROD000023,ValueBrand Tools Premium,Automotive,Tools,62.63,FreshChoice,"Premium Tools designed for everyday use, brought to you by VitalCare"
PROD000024,ReadWell Electronics Premium,Automotive,Electronics,116.48,ActiveLife,High-quality Electronics from TechPro with excellent durability and performance
PROD000025,BeautyGlow Frozen Foods Standard,Food & Beverages,Frozen Foods,24.91,PremiumSelect,ValueBrand's bestselling Frozen Foods featuring innovative design and superior quality
PROD000026,ReadWell Bedding Premium,Home & Garden,Bedding,59.69,HomeComfort,Affordable Bedding from BeautyGlow with great value and reliability
PROD000027,PlayFun Beverages Pro,Food & Beverages,Beverages,61.52,BeautyGlow,High-quality Beverages from ValueBrand with excellent durability and performance
PROD000028,HomeComfort Organic Plus,Food & Beverages,Organic,13.27,ReadWell,AutoExpert's bestselling Organic featuring innovative design and superior quality
PROD000029,PlayFun Fiction Premium,Books & Media,Fiction,37.68,TechPro,"Premium Fiction designed for everyday use, brought to you by TechPro"
PROD000030,PlayFun Bath & Body Plus,Beauty & Personal Care,Bath & Body,42.85,StyleMax,Luxury Bath & Body by AutoExpert for discerning customers seeking excellence
PROD000031,TechPro Camping Gear Elite,Sports & Outdoors,Camping Gear,36.03,ReadWell,Luxury Camping Gear by FreshChoice for discerning customers seeking excellence
PROD000032,PremiumSelect Parts Standard,Automotive,Parts,37.27,FreshChoice,High-quality Parts from TechPro with excellent durability and performance
PROD000033,ActiveLife Laptops Elite,Electronics,Laptops,11.26,AutoExpert,Affordable Laptops from VitalCare with great value and reliability
PROD000034,AutoExpert Garden Tools Elite,Home & Garden,Garden Tools,6.31,PlayFun,PlayFun's bestselling Garden Tools featuring innovative design and superior quality
PROD000035,BeautyGlow Team Sports Pro,Sports & Outdoors,Team Sports,14.15,StyleMax,High-quality Team Sports from PlayFun with excellent durability and performance
PROD000036,PlayFun Music Pro,Books & Media,Music,8.94,HomeComfort,Luxury Music by ValueBrand for discerning customers seeking excellence
PROD000037,ValueBrand Beverages Elite,Food & Beverages,Beverages,17.14,ActiveLife,Affordable Beverages from StyleMax with great value and reliability
PROD000038,VitalCare Organic Standard,Food & Beverages,Organic,15.11,PremiumSelect,Luxury Organic by PremiumSelect for discerning customers seeking excellence
PROD000039,ReadWell Men's Apparel Elite,Clothing,Men's Apparel,185.48,TechPro,"Premium Men's Apparel designed for everyday use, brought to you by FreshChoice"
PROD000040,PremiumSelect Accessories Plus,Clothing,Accessories,121.88,AutoExpert,Affordable Accessories from FreshChoice with great value and reliability
PROD000041,TechPro Movies Standard,Books & Media,Movies,11.14,VitalCare,High-quality Movies from HomeComfort with excellent durability and performance
PROD000042,PremiumSelect Camping Gear Plus,Sports & Outdoors,Camping Gear,102.63,BeautyGlow,Affordable Camping Gear from ActiveLife with great value and reliability
PROD000043,ActiveLife Action Figures Plus,Toys & Games,Action Figures,35.67,ReadWell,StyleMax's bestselling Action Figures featuring innovative design and superior quality
PROD000044,ReadWell Tools Plus,Automotive,Tools,36.9,ValueBrand,Luxury Tools by ReadWell for discerning customers seeking excellence
PROD000045,PlayFun Kids' Clothing Premium,Clothing,Kids' Clothing,25.76,AutoExpert,AutoExpert's bestselling Kids' Clothing featuring innovative design and superior quality
PROD000046,BeautyGlow Bedding Pro,Home & Garden,Bedding,49.59,ValueBrand,Affordable Bedding from AutoExpert with great value and reliability
PROD000047,HomeComfort Women's Apparel Standard,Clothing,Women's Apparel,45.92,PremiumSelect,Luxury Women's Apparel by VitalCare for discerning customers seeking excellence
PROD000048,PremiumSelect Movies Pro,Books & Media,Movies,26.2,BeautyGlow,Affordable Movies from BeautyGlow with great value and reliability
PROD000049,StyleMax Smartphones Premium,Electronics,Smartphones,80.26,TechPro,High-quality Smartphones from TechPro with excellent durability and performance
PROD000050,PremiumSelect Tablets Plus,Electronics,Tablets,24.27,PlayFun,PlayFun's bestselling Tablets featuring innovative design and superior quality
