@timestamp,event_id,event_title,event_description,alert_message,node_id,node_role,cluster_id,network_region,severity,event_type,consensus_state,affected_peers,score
2026-03-04 16:55:14.497579,EVT-FEDA4F1C8B,Auth Failure Burst - MME-07 - WEST,Authentication failure spike on CLUSTER-WEST-2: node MME-07 in WEST recording abnormal EAP-AKA failure rate. Possible HSS sync issue.,ALERT: Mass auth failure detected on CLUSTER-WEST-2 in WEST. Check HSS health and S6a connectivity.,MME-07,PGW,CLUSTER-WEST-2,WEST,CRITICAL,AUTH-FAILURE-BURST,SPLIT,2,58.96
2025-12-12 18:40:48.497579,EVT-048AEA3624,Mme Crash - MME-03 - CENTRAL,MME node MME-03 in cluster CLUSTER-EAST-1 (CENTRAL) crashed unexpectedly. Core dump captured. Subscribers migrating to standby MME.,ALERT: MME process crash on MME-03 in CLUSTER-EAST-1 (CENTRAL). Subscriber failover in progress.,MME-03,SGW,CLUSTER-EAST-1,CENTRAL,MEDIUM,MME-CRASH,FOLLOWER,5,83.57
2025-12-12 15:59:01.497579,EVT-35A805FD48,Mme Crash - MME-01 - CENTRAL,MME node MME-01 in cluster CLUSTER-EAST-1 (CENTRAL) crashed unexpectedly. Core dump captured. Subscribers migrating to standby MME.,ALERT: MME process crash on MME-01 in CLUSTER-EAST-1 (CENTRAL). Subscriber failover in progress.,MME-01,MME-PRIMARY,CLUSTER-EAST-1,CENTRAL,LOW,MME-CRASH,FOLLOWER,0,39.66
2026-01-04 19:47:10.497579,EVT-95E7C52CD6,Ss7 Attack - HSS-01 - CENTRAL,Suspected SS7 MAP attack detected on HSS-01 in CENTRAL. Cluster CLUSTER-WEST-1 logging abnormal MAP-SendRoutingInfo flood from foreign PLMN.,ALERT: SS7 security attack suspected on HSS-01 in CENTRAL. Engage security team immediately.,HSS-01,MME-PRIMARY,CLUSTER-WEST-1,CENTRAL,MEDIUM,SS7-ATTACK,FOLLOWER,0,70.35
2026-01-07 10:45:51.497579,EVT-9AC2127930,Resource Exhaustion - MME-07 - NORTH,Memory pressure on MME-07 in NORTH. Cluster CLUSTER-EAST-1 reporting heap utilization above 90% on MME process.,ALERT: Resource exhaustion on MME-07 in CLUSTER-EAST-1 (NORTH). Capacity intervention required.,MME-07,HSS-PRIMARY,CLUSTER-EAST-1,NORTH,MEDIUM,RESOURCE-EXHAUSTION,CANDIDATE,1,52.11
2025-12-20 19:48:56.497579,EVT-BBAAB8D819,Mme Crash - HSS-02 - NORTH,MME node HSS-02 in cluster CLUSTER-EAST-2 (NORTH) crashed unexpectedly. Core dump captured. Subscribers migrating to standby MME.,ALERT: MME process crash on HSS-02 in CLUSTER-EAST-2 (NORTH). Subscriber failover in progress.,HSS-02,PGW,CLUSTER-EAST-2,NORTH,CRITICAL,MME-CRASH,FOLLOWER,4,93.32
2026-01-15 12:34:14.497579,EVT-2CC15C9175,Mme Crash - MME-01 - WEST,Node MME-01 on CLUSTER-WEST-1 in WEST entered fault state. MME watchdog triggered process restart after unresponsive health check.,ALERT: MME process crash on MME-01 in CLUSTER-WEST-1 (WEST). Subscriber failover in progress.,MME-01,HSS-PRIMARY,CLUSTER-WEST-1,WEST,HIGH,MME-CRASH,FOLLOWER,4,25.34
2025-12-20 22:11:48.497579,EVT-274BFD8E14,Mme Crash - HSS-04 - NORTH,MME node HSS-04 in cluster CLUSTER-EAST-2 (NORTH) crashed unexpectedly. Core dump captured. Subscribers migrating to standby MME.,ALERT: MME process crash on HSS-04 in CLUSTER-EAST-2 (NORTH). Subscriber failover in progress.,HSS-04,MME-PRIMARY,CLUSTER-EAST-2,NORTH,CRITICAL,MME-CRASH,LEADER,2,53.31
2026-02-07 20:25:58.497579,EVT-8B60DFFACF,Mme Crash - HSS-05 - SOUTH,"Process restart detected on HSS-05 in CLUSTER-WEST-2, SOUTH. S1AP handler terminated with SIGSEGV. Automatic recovery in progress.",ALERT: MME process crash on HSS-05 in CLUSTER-WEST-2 (SOUTH). Subscriber failover in progress.,HSS-05,HSS-SECONDARY,CLUSTER-WEST-2,SOUTH,LOW,MME-CRASH,CANDIDATE,2,19.46
2026-01-04 19:15:47.497579,EVT-2A51C2DB1C,Ss7 Attack - HSS-04 - CENTRAL,Rogue SS7 signaling detected targeting HSS-04 on CLUSTER-WEST-1 in CENTRAL. Possible subscriber tracking or interception attempt.,ALERT: SS7 security attack suspected on HSS-04 in CENTRAL. Engage security team immediately.,HSS-04,MME-PRIMARY,CLUSTER-WEST-1,CENTRAL,HIGH,SS7-ATTACK,LEADER,1,56.25
2026-01-21 20:21:18.497579,EVT-06B677EB20,Hss Sync Failure - MME-01 - NORTH,HSS sync error on MME-01 in NORTH: cluster CLUSTER-EAST-2 reporting stale authentication vectors affecting subscriber attach.,ALERT: HSS sync failure on CLUSTER-EAST-2 in NORTH. Authentication service may be degraded.,MME-01,HSS-PRIMARY,CLUSTER-EAST-2,NORTH,CRITICAL,HSS-SYNC-FAILURE,FOLLOWER,5,24.65
2025-12-23 00:44:38.497579,EVT-802391E482,Mme Crash - MME-08 - SOUTH,Node MME-08 on CLUSTER-WEST-2 in SOUTH entered fault state. MME watchdog triggered process restart after unresponsive health check.,ALERT: MME process crash on MME-08 in CLUSTER-WEST-2 (SOUTH). Subscriber failover in progress.,MME-08,HSS-SECONDARY,CLUSTER-WEST-2,SOUTH,CRITICAL,MME-CRASH,LEADER,1,83.43
2026-01-28 16:38:40.497579,EVT-4410E6744E,Split Brain - MME-05 - CENTRAL,Split-brain event on CLUSTER-EAST-2: node MME-05 in CENTRAL cannot reach majority peers. Consensus state transitioned to CANDIDATE.,ALERT: Split-brain condition on cluster CLUSTER-EAST-2 in CENTRAL requires immediate operator intervention.,MME-05,MME-SECONDARY,CLUSTER-EAST-2,CENTRAL,MEDIUM,SPLIT-BRAIN,FOLLOWER,5,30.41
2026-01-31 15:12:20.497579,EVT-1BCBF72B07,Auth Failure Burst - MME-08 - WEST,HSS returning repeated authentication failures for subscribers homed on MME-08 in WEST. Cluster CLUSTER-WEST-1 flagged for investigation.,ALERT: Mass auth failure detected on CLUSTER-WEST-1 in WEST. Check HSS health and S6a connectivity.,MME-08,MME-PRIMARY,CLUSTER-WEST-1,WEST,HIGH,AUTH-FAILURE-BURST,CANDIDATE,0,85.1
2026-01-22 00:37:38.497579,EVT-D154236633,Hss Sync Failure - HSS-02 - NORTH,HSS database synchronization failure on CLUSTER-EAST-2 in NORTH. Node HSS-02 reporting inconsistent subscriber profile data.,ALERT: HSS sync failure on CLUSTER-EAST-2 in NORTH. Authentication service may be degraded.,HSS-02,HSS-SECONDARY,CLUSTER-EAST-2,NORTH,MEDIUM,HSS-SYNC-FAILURE,FOLLOWER,1,71.8
2026-01-28 20:24:18.497579,EVT-EF305F20B8,Split Brain - HSS-01 - CENTRAL,"Network partition detected on CLUSTER-EAST-2 in CENTRAL. Node HSS-01 isolated from cluster majority, triggering emergency re-election.",ALERT: Split-brain condition on cluster CLUSTER-EAST-2 in CENTRAL requires immediate operator intervention.,HSS-01,MME-SECONDARY,CLUSTER-EAST-2,CENTRAL,MEDIUM,SPLIT-BRAIN,FOLLOWER,5,47.9
2026-01-31 13:54:18.497579,EVT-D256CCCD0C,Auth Failure Burst - HSS-03 - WEST,Mass authentication failure burst detected on CLUSTER-WEST-1 in WEST. Node HSS-03 logging elevated HSS reject rate over past 15 minutes.,ALERT: Mass auth failure detected on CLUSTER-WEST-1 in WEST. Check HSS health and S6a connectivity.,HSS-03,SGW,CLUSTER-WEST-1,WEST,MEDIUM,AUTH-FAILURE-BURST,FOLLOWER,1,33.43
2026-01-04 18:45:18.497579,EVT-B1FBC8AC96,Ss7 Attack - HSS-04 - CENTRAL,Suspected SS7 MAP attack detected on HSS-04 in CENTRAL. Cluster CLUSTER-WEST-1 logging abnormal MAP-SendRoutingInfo flood from foreign PLMN.,ALERT: SS7 security attack suspected on HSS-04 in CENTRAL. Engage security team immediately.,HSS-04,PGW,CLUSTER-WEST-1,CENTRAL,HIGH,SS7-ATTACK,FOLLOWER,0,30.42
2025-12-23 02:10:18.497579,EVT-D94917FDE4,Mme Crash - HSS-03 - SOUTH,"Process restart detected on HSS-03 in CLUSTER-WEST-2, SOUTH. S1AP handler terminated with SIGSEGV. Automatic recovery in progress.",ALERT: MME process crash on HSS-03 in CLUSTER-WEST-2 (SOUTH). Subscriber failover in progress.,HSS-03,HSS-SECONDARY,CLUSTER-WEST-2,SOUTH,MEDIUM,MME-CRASH,LEADER,3,54.06
2025-12-12 14:40:28.497579,EVT-E9879375E1,Mme Crash - HSS-05 - CENTRAL,"Process restart detected on HSS-05 in CLUSTER-EAST-1, CENTRAL. S1AP handler terminated with SIGSEGV. Automatic recovery in progress.",ALERT: MME process crash on HSS-05 in CLUSTER-EAST-1 (CENTRAL). Subscriber failover in progress.,HSS-05,HSS-PRIMARY,CLUSTER-EAST-1,CENTRAL,MEDIUM,MME-CRASH,FOLLOWER,1,65.52
2025-12-22 22:39:26.497579,EVT-F508A8D3AE,Mme Crash - MME-03 - SOUTH,MME node MME-03 in cluster CLUSTER-WEST-2 (SOUTH) crashed unexpectedly. Core dump captured. Subscribers migrating to standby MME.,ALERT: MME process crash on MME-03 in CLUSTER-WEST-2 (SOUTH). Subscriber failover in progress.,MME-03,SGW,CLUSTER-WEST-2,SOUTH,CRITICAL,MME-CRASH,LEADER,0,52.29
2026-02-14 18:06:13.497579,EVT-4E34762B6C,Paging Overload - HSS-02 - SOUTH,"Paging overload on HSS-02 in CLUSTER-CENTRAL-1 (SOUTH): paging queue depth exceeding threshold, causing delayed UE reachability.",ALERT: Paging overload on HSS-02 in SOUTH. Reduce paging load or increase capacity.,HSS-02,MME-SECONDARY,CLUSTER-CENTRAL-1,SOUTH,INFO,PAGING-OVERLOAD,FOLLOWER,2,23.55
