Date,Session,Category,Component,Title,Description,Files Changed,Status
2026-03-21,1,Feature,UI / Search,Kibana Data Views auto-created after indexing,"After batch indexing, Kibana Data Views are created automatically so Discover works immediately. No manual step needed.","src/ui/views/tabs/data_tab.py, src/services/kibana_assets_service.py",Done
2026-03-21,1,Feature,Services / Search,E5 Multilingual embedding support,"Full stack support for multilingual-e5-small as an alternative to ELSER. Dense vectors (384 dims) output to {field}_vector via ingest pipeline.","src/services/ingest_pipeline_service.py, src/services/index_template_service.py, src/services/search_application_service.py, src/services/search_preflight_service.py",Done
2026-03-21,1,Feature,Services / Search,Jina embeddings-v3 support,"Jina AI dense embedding model (1024 dims) support via Elastic Inference Endpoint. Includes auto-registration of inference endpoint with JINA_API_KEY.","src/services/ingest_pipeline_service.py, src/services/index_template_service.py, src/services/search_application_service.py, src/services/search_preflight_service.py",Done
2026-03-21,1,Feature,UI / Sidebar,Explicit ELSER / E5 / Jina embedding selector,"Replaced sparse/dense/custom radio with named embedding options. Jina shows API key input field. Stores embedding_type in session state.","src/ui/sidebar.py",Done
2026-03-21,1,Feature,Services / Provisioner,Embedding model wired through full provisioning stack,"Search provisioner reads embedding choice from sidebar session state and passes it to pipeline / template / search app creation.",src/services/search_provisioner.py,Done
2026-03-21,1,Feature,Framework,MAX_DATASETS cap (6 datasets max),"Hard cap prevents generating >6 datasets which caused 900+ line files and token limit issues. Logs warning when trimming.","src/framework/module_generator.py",Done
2026-03-21,1,Feature,Framework,Reduced token limits per dataset method,"max_tokens reduced 16000→8000 per dataset method. Added 120-line / 300-record constraints to per-dataset prompts.","src/framework/module_generator.py",Done
2026-03-21,1,Feature,Framework,3-stage syntax auto-fix for generated code,"Stage 1: structural bracket fix (no LLM). Stage 2: section-only LLM fix (~30 lines). Stage 3: full-file LLM fix as last resort.","src/framework/module_generator.py",Done
2026-03-21,1,Bug Fix,Framework,UnboundLocalError for prompt variable,"retry_prompt = prompt + f-string at line ~2905 ran for both use_split and single-call paths. prompt is only defined in the single-call (else) path. Fixed by guarding with: if exec_error and not use_split.","src/framework/module_generator.py",Done
2026-03-21,1,Infrastructure,Dependencies,Eland Python client installed,"eland[pytorch]>=8.0.0 added to requirements.txt for HuggingFace model uploads to Elasticsearch.",requirements.txt,Done
2026-03-21,1,Infrastructure,Elasticsearch,completion-vulcan inference endpoint registered,"LiteLLM proxy registered as Elastic inference endpoint for ES|QL COMPLETION command. Done via API without changing .env.",N/A (Elasticsearch),Done
2026-03-21,1,Feature,UI / Browse Demos,Revenue Engine tab added to Search demos,"New ⚡ Revenue Engine tab in Browse Demos for all Search-pillar demos. Shows in-app project-to-cart experience — no Kibana required.","src/ui/views/browse_demos.py, src/ui/views/tabs/__init__.py",Done
2026-03-21,1,Feature,Services,Revenue Engine service created,"Backend for in-app project planner. Runs semantic / geo / ES|QL queries. Falls back to realistic simulation when data not yet indexed. Supports shed / deck / fence / patio project types.",src/services/revenue_engine_service.py,Done
2026-03-21,1,Feature,UI / Tabs,Revenue Engine UI tab — v1 Project Planner,"Full project-to-cart UI: project input form → animated loading → results (materials table with aisle/bay/qty/price + rentals + store card + action buttons + Under the Hood ES|QL display).",src/ui/views/tabs/revenue_engine_tab.py,Done
2026-03-21,2,Feature,UI / Tabs,Revenue Engine — Search Analytics panel,"Panel 2 of Revenue Engine: KPI tiles (zero results %, CTR, avg latency, top query), top queries table, failing queries table, latency breakdown by query type. ES|QL STATS queries shown in Under the Hood.",src/ui/views/tabs/revenue_engine_tab.py,Done
2026-03-21,2,Feature,UI / Tabs,Revenue Engine — Search Intelligence panel,"Panel 3 of Revenue Engine: 3 sub-tabs — (1) Intent Classification calls Claude Haiku API live to classify query intent + extract entities; (2) Semantic Autocomplete with search-as-you-type + ELSER scoring; (3) Personalization with session behavioural signals.",src/ui/views/tabs/revenue_engine_tab.py,Done
2026-03-21,2,Feature,UI / Tabs,Revenue Engine — Zero Results Lab panel,"Panel 4 of Revenue Engine: Query degradation tester (exact → fuzzy → semantic → synonym fallback pipeline), synonym rule builder, zero-results recovery explanation.",src/ui/views/tabs/revenue_engine_tab.py,Done
