incident_id,conversation_id,user_query,retrieved_doc_ids,expected_doc_ids,failure_reason,debug_time_minutes,resolution_notes,incident_date,resolved
INC000001,CONV00001213,Find all approved marketing assets for our spring campaign,"ASSET00002340,ASSET00001662,ASSET00002714","ASSET00000568,ASSET00001306,ASSET00002536",embedding_mismatch,19,Resolved by adjusting filters,2025-08-20 20:05:07.853910,True
INC000002,CONV00002258,Show me recent product images with high engagement,"ASSET00002047,ASSET00001604,ASSET00000713,ASSET00001916,ASSET00002873","ASSET00001957,ASSET00000529,ASSET00000212,ASSET00001483,ASSET00000167",missing_context,28,Resolved by adjusting embedding,2025-08-20 22:05:07.853910,True
INC000003,CONV00002419,Find all approved marketing assets for our spring campaign,"ASSET00001614,ASSET00001103,ASSET00002555,ASSET00002288","ASSET00001776,ASSET00001481,ASSET00002108",poor_relevance,43,Resolved by adjusting ranking,2025-08-21 00:05:07.853910,False
INC000004,CONV00001378,Show me recent product images with high engagement,"ASSET00002303,ASSET00002120,ASSET00000442,ASSET00002710,ASSET00000820",ASSET00000829,embedding_mismatch,16,Resolved by adjusting query,2025-08-21 02:05:07.853910,True
INC000005,CONV00002072,Find high-resolution images for print materials,"ASSET00002377,ASSET00000950,ASSET00002590","ASSET00001829,ASSET00000530,ASSET00000121",wrong_filter,34,Resolved by adjusting query,2025-08-21 04:05:07.853910,True
INC000006,CONV00000973,Show approved logos in SVG format,ASSET00001750,"ASSET00002535,ASSET00001204",empty_results,16,Resolved by adjusting filters,2025-08-21 06:05:07.853910,True
INC000007,CONV00000189,Show me all assets created in the last week,"ASSET00002187,ASSET00002923,ASSET00001060,ASSET00001921","ASSET00001684,ASSET00000193,ASSET00000240,ASSET00002878,ASSET00001645",timeout,70,Resolved by adjusting ranking,2025-08-21 08:05:07.853910,False
INC000008,CONV00000664,Show approved logos in SVG format,"ASSET00001903,ASSET00002411,ASSET00002960,ASSET00002828",ASSET00001905,wrong_filter,55,Resolved by adjusting embedding,2025-08-21 10:05:07.853910,True
INC000009,CONV00001763,Show me recent product images with high engagement,"ASSET00000968,ASSET00001555,ASSET00001896","ASSET00001581,ASSET00002774,ASSET00000487",embedding_mismatch,55,Resolved by adjusting filters,2025-08-21 12:05:07.853910,True
INC000010,CONV00001240,Search for campaign assets tagged with digital,ASSET00000346,ASSET00000369,incorrect_ranking,24,Resolved by adjusting ranking,2025-08-21 14:05:07.853910,True
INC000011,CONV00002045,Find high-resolution images for print materials,"ASSET00002181,ASSET00002049",ASSET00000872,empty_results,24,Resolved by adjusting filters,2025-08-21 16:05:07.853910,False
INC000012,CONV00001337,Find all approved marketing assets for our spring campaign,"ASSET00000875,ASSET00001966,ASSET00000601","ASSET00002520,ASSET00000447",missing_context,58,Resolved by adjusting filters,2025-08-21 18:05:07.853910,True
INC000013,CONV00000519,Find all approved marketing assets for our spring campaign,"ASSET00000604,ASSET00002063,ASSET00001309","ASSET00002078,ASSET00002220,ASSET00000485,ASSET00000084,ASSET00002550",timeout,19,Resolved by adjusting filters,2025-08-21 20:05:07.853910,False
INC000014,CONV00002061,What brand guidelines exist for social media posts,"ASSET00001033,ASSET00001419,ASSET00001217","ASSET00000591,ASSET00001843",empty_results,72,Resolved by adjusting ranking,2025-08-21 22:05:07.853910,True
INC000015,CONV00002156,Show me recent product images with high engagement,"ASSET00002242,ASSET00001968,ASSET00000316","ASSET00001073,ASSET00002734,ASSET00000798",incorrect_ranking,51,Resolved by adjusting ranking,2025-08-22 00:05:07.853910,False
INC000016,CONV00000823,What brand guidelines exist for social media posts,"ASSET00002134,ASSET00001770","ASSET00002962,ASSET00002641",timeout,32,Resolved by adjusting query,2025-08-22 02:05:07.853910,True
INC000017,CONV00001025,Show approved logos in SVG format,"ASSET00000897,ASSET00002011,ASSET00001123,ASSET00001700,ASSET00001436","ASSET00001864,ASSET00002259,ASSET00001894",empty_results,89,Resolved by adjusting query,2025-08-22 04:05:07.853910,True
INC000018,CONV00002242,Search for campaign assets tagged with digital,"ASSET00000602,ASSET00000475,ASSET00000283,ASSET00001549,ASSET00001853","ASSET00002807,ASSET00000403",empty_results,33,Resolved by adjusting filters,2025-08-22 06:05:07.853910,True
INC000019,CONV00001792,Find high-resolution images for print materials,"ASSET00000754,ASSET00001649,ASSET00001509,ASSET00001863,ASSET00000178","ASSET00000144,ASSET00000063,ASSET00002688,ASSET00001630",wrong_filter,76,Resolved by adjusting ranking,2025-08-22 08:05:07.853910,True
INC000020,CONV00000760,Find all approved marketing assets for our spring campaign,"ASSET00001015,ASSET00000564,ASSET00000804","ASSET00001205,ASSET00002387,ASSET00002827",missing_context,31,Resolved by adjusting query,2025-08-22 10:05:07.853910,True
INC000021,CONV00001948,Search for campaign assets tagged with digital,"ASSET00001818,ASSET00001025","ASSET00000601,ASSET00001095",empty_results,79,Resolved by adjusting ranking,2025-08-22 12:05:07.853910,True
INC000022,CONV00001323,Find high-resolution images for print materials,"ASSET00002756,ASSET00002230,ASSET00000038,ASSET00002877",ASSET00002375,poor_relevance,24,Resolved by adjusting filters,2025-08-22 14:05:07.853910,True
INC000023,CONV00002333,Show me all assets created in the last week,"ASSET00000827,ASSET00001557,ASSET00002614,ASSET00000869,ASSET00000852","ASSET00001533,ASSET00002158,ASSET00001024,ASSET00001773",embedding_mismatch,78,Resolved by adjusting ranking,2025-08-22 16:05:07.853910,True
INC000024,CONV00002304,What assets are pending approval for the finance team,"ASSET00001307,ASSET00001906,ASSET00002884,ASSET00000688,ASSET00002977","ASSET00000540,ASSET00002082",poor_relevance,15,Resolved by adjusting embedding,2025-08-22 18:05:07.853910,True
INC000025,CONV00001150,Find high-resolution images for print materials,"ASSET00001150,ASSET00000874,ASSET00001635,ASSET00002372,ASSET00002228","ASSET00001510,ASSET00001693,ASSET00001180,ASSET00002352",wrong_filter,29,Resolved by adjusting filters,2025-08-22 20:05:07.853910,True
INC000026,CONV00000276,What assets are pending approval for the finance team,"ASSET00000386,ASSET00000336","ASSET00001935,ASSET00002323,ASSET00002386,ASSET00001977,ASSET00001518",empty_results,80,Resolved by adjusting ranking,2025-08-22 22:05:07.853910,True
INC000027,CONV00001017,Show approved logos in SVG format,"ASSET00000802,ASSET00000866,ASSET00001229","ASSET00002000,ASSET00000451,ASSET00000075,ASSET00002296,ASSET00002573",timeout,15,Resolved by adjusting filters,2025-08-23 00:05:07.853910,True
INC000028,CONV00000765,What assets are pending approval for the finance team,"ASSET00001019,ASSET00000459,ASSET00002571,ASSET00000562","ASSET00000217,ASSET00001027",timeout,42,Resolved by adjusting query,2025-08-23 02:05:07.853910,True
INC000029,CONV00001347,Find all approved marketing assets for our spring campaign,"ASSET00001884,ASSET00001235,ASSET00002514,ASSET00002265","ASSET00002917,ASSET00001657",poor_relevance,79,Resolved by adjusting query,2025-08-23 04:05:07.853910,True
INC000030,CONV00001771,Find high-resolution images for print materials,"ASSET00001843,ASSET00000290,ASSET00001052,ASSET00002388,ASSET00001461",ASSET00001506,wrong_filter,67,Resolved by adjusting ranking,2025-08-23 06:05:07.853910,True
INC000031,CONV00002386,Find all approved marketing assets for our spring campaign,"ASSET00001085,ASSET00002824","ASSET00002413,ASSET00002142",embedding_mismatch,71,Resolved by adjusting query,2025-08-23 08:05:07.853910,True
INC000032,CONV00001960,Find templates used in email campaigns last month,"ASSET00002833,ASSET00002996",ASSET00000417,incorrect_ranking,23,Resolved by adjusting query,2025-08-23 10:05:07.853910,True
INC000033,CONV00000663,Show me recent product images with high engagement,ASSET00001583,"ASSET00000516,ASSET00000051,ASSET00000241,ASSET00001875",wrong_filter,65,Resolved by adjusting ranking,2025-08-23 12:05:07.853910,True
INC000034,CONV00001516,Find high-resolution images for print materials,"ASSET00002356,ASSET00002233,ASSET00002419,ASSET00002111","ASSET00001116,ASSET00002816,ASSET00002275",missing_context,75,Resolved by adjusting query,2025-08-23 14:05:07.853910,True
INC000035,CONV00000263,Search for video content related to product launches,ASSET00001517,"ASSET00002821,ASSET00002281",poor_relevance,47,Resolved by adjusting query,2025-08-23 16:05:07.853910,True
INC000036,CONV00000306,What brand guidelines exist for social media posts,"ASSET00001359,ASSET00001706,ASSET00000488","ASSET00002800,ASSET00000282,ASSET00000298",missing_context,20,Resolved by adjusting embedding,2025-08-23 18:05:07.853910,True
INC000037,CONV00000442,Find high-resolution images for print materials,"ASSET00001044,ASSET00000689,ASSET00002756,ASSET00000665","ASSET00002679,ASSET00001901",empty_results,82,Resolved by adjusting filters,2025-08-23 20:05:07.853910,True
INC000038,CONV00000064,What assets are pending approval for the finance team,"ASSET00001873,ASSET00000380","ASSET00000952,ASSET00001474",incorrect_ranking,22,Resolved by adjusting query,2025-08-23 22:05:07.853910,True
INC000039,CONV00001374,Show me all assets created in the last week,"ASSET00000348,ASSET00001765","ASSET00000745,ASSET00002274",timeout,72,Resolved by adjusting query,2025-08-24 00:05:07.853910,True
