Asset ID,Product Name,Asset Type,Description,Deployment Date,Status,Region,File Path,Usage Guidelines,Associated Campaign
BA-1001,QuantumLeap Solutions,Brand Mascot,"Character illustration for QuantumLeap Solutions featured in the Neutron Drive advertising campaign.",2011-09-17,Archived,Global,//assets.internal/QuantumLeapSolutions/Brand/Brand_Mascot/Brand_Mascot_1.ai,Web-only. Use Hex codes #XXXXXX #YYYYYY #ZZZZZZ.,not used
BA-1002,Vortex Industries,Primary Font,Standard Primary Font asset for general corporate use by Vortex Industries.,2012-10-18,Active,EMEA,//assets.internal/VortexIndustries/Brand/Primary_Font/Primary_Font_2.otf,Do not stretch alter or recolor. Primary use only.,Year-End Review 2024
BA-1003,Synergy Group,Icon Set,Icon Set design featuring branding for the Unite Platform launch.,2020-03-22,Active,APAC,//assets.internal/SynergyGroup/Brand/Icon_Set/Icon_Set_3.zip,Approved for all digital and print marketing materials.,NextGen Launch
BA-1004,Orion Marketing,Jingle,Standard Jingle asset for general corporate use by Orion Marketing.,2009-08-27,Active,North America,//assets.internal/OrionMarketing/Brand/Jingle/Jingle_4.mp3,Requires legal approval before external use.,not used
BA-1005,AetherWorks,Presentation Template,Standard Presentation Template asset for general corporate use by AetherWorks.,2013-09-07,Active,North America,//assets.internal/AetherWorks/Brand/Presentation_Template/Presentation_Template_5.pptx,Approved for all digital and print marketing materials.,Future Forward 2025
BA-1006,Stellar Systems,Social Media Banner,Social Media Banner design featuring branding for the Galaxy Watch launch.,2015-06-25,Active,Global,//assets.internal/StellarSystems/Brand/Social_Media_Banner/Social_Media_Banner_6.jpg,For internal use only. Not for public distribution.,not used
BA-1007,Pinnacle Brands,Brand Mascot,"Character illustration for Pinnacle Brands featured in the Everest Jacket advertising campaign.",2024-03-01,Active,Global,//assets.internal/PinnacleBrands/Brand/Brand_Mascot/Brand_Mascot_7.ai,Do not stretch alter or recolor. Primary use only.,Project Nova
BA-1008,Momentum Labs,Storefront Signage,Storefront Signage design featuring branding for the Velocity SDK launch.,2016-12-19,Active,APAC,//assets.internal/MomentumLabs/Brand/Storefront_Signage/Storefront_Signage_8.pdf,Print-only. Use CMYK values from the brand guide.,Innovate & Elevate
BA-1009,AquaSphere Tech,Secondary Font,Standard Secondary Font asset for general corporate use by AquaSphere Tech.,2014-04-20,Active,EMEA,//assets.internal/AquaSphereTech/Brand/Secondary_Font/Secondary_Font_9.ttf,Use on light backgrounds only. Maintain 20px clear space.,Brand Unification 2023
BA-1010,Innovate Inc.,Email Signature,Standard Email Signature asset for general corporate use by Innovate Inc.,2018-09-02,Active,North America,//assets.internal/InnovateInc/Brand/Email_Signature/Email_Signature_10.html,Minimum size 50px width. Refer to brand guidelines for full details.,not used
BA-1011,Innovate Inc.,Brand Guidelines PDF,"Comprehensive PDF document outlining all brand usage rules for Innovate Inc.",2011-09-24,Archived,North America,//assets.internal/InnovateInc/Brand/Brand_Guidelines_PDF/Brand_Guidelines_PDF_11.pdf,For internal use only. Not for public distribution.,not used
