template_id,template_name,query_dsl,use_case,last_updated,maintenance_hours,complexity_score,performance_rating,deprecated
TMPL001,aggregation_query Template 1,"{""query"": {""match"": {""field"": ""value0""}}}",aggregation_query,2026-08-12 02:05:07.853910,0.7,4,good,False
TMPL002,filtered_search Template 2,"{""query"": {""match"": {""field"": ""value1""}}}",semantic_search,2026-08-05 02:05:07.853910,5.2,8,good,False
TMPL003,multi_field_search Template 3,"{""query"": {""match"": {""field"": ""value2""}}}",keyword_search,2026-07-29 02:05:07.853910,5.0,4,fair,False
TMPL004,keyword_search Template 4,"{""query"": {""match"": {""field"": ""value3""}}}",aggregation_query,2026-07-22 02:05:07.853910,4.8,7,fair,False
TMPL005,multi_field_search Template 5,"{""query"": {""match"": {""field"": ""value4""}}}",keyword_search,2026-07-15 02:05:07.853910,2.5,5,poor,False
TMPL006,fuzzy_search Template 6,"{""query"": {""match"": {""field"": ""value5""}}}",hybrid_search,2026-07-08 02:05:07.853910,0.9,8,good,False
TMPL007,hybrid_search Template 7,"{""query"": {""match"": {""field"": ""value6""}}}",filtered_search,2026-07-01 02:05:07.853910,4.8,6,good,False
TMPL008,multi_field_search Template 8,"{""query"": {""match"": {""field"": ""value7""}}}",multi_field_search,2026-06-24 02:05:07.853910,6.4,1,good,False
TMPL009,hybrid_search Template 9,"{""query"": {""match"": {""field"": ""value8""}}}",fuzzy_search,2026-06-17 02:05:07.853910,7.4,6,good,False
TMPL010,filtered_search Template 10,"{""query"": {""match"": {""field"": ""value9""}}}",multi_field_search,2026-06-10 02:05:07.853910,6.6,9,excellent,True
TMPL011,fuzzy_search Template 11,"{""query"": {""match"": {""field"": ""value10""}}}",keyword_search,2026-06-03 02:05:07.853910,3.3,5,good,False
TMPL012,hybrid_search Template 12,"{""query"": {""match"": {""field"": ""value11""}}}",multi_field_search,2026-05-27 02:05:07.853910,6.8,2,fair,False
TMPL013,keyword_search Template 13,"{""query"": {""match"": {""field"": ""value12""}}}",filtered_search,2026-05-20 02:05:07.853910,6.1,3,poor,False
TMPL014,hybrid_search Template 14,"{""query"": {""match"": {""field"": ""value13""}}}",semantic_search,2026-05-13 02:05:07.853910,2.3,2,poor,True
TMPL015,fuzzy_search Template 15,"{""query"": {""match"": {""field"": ""value14""}}}",aggregation_query,2026-05-06 02:05:07.853910,2.2,3,fair,False
