cell_id,enodeb_id,cell_name,site_id,latitude,longitude,region,market,vendor,technology,capacity_tier,max_subscribers,backhaul_type,noc_team,deployment_date,cell_characteristics
CELL-000001,ENB-00001,Tower Delta 1,SITE-00001,36.21471498719695,-65.37828375401635,North Central,Suburban,Nokia,5G NR,Tier 4 (Very High),2247,Millimeter Wave,NOC-MW,2038-02-06 16:03:01.315708,"Carrier aggregation enabled 5G NR site with Millimeter Wave transport, serving high-density Suburban zone"
CELL-000002,ENB-00002,Tower Delta 2,SITE-00002,33.56788101042824,-94.3866695806843,West,Highway,Ericsson,5G NR,Tier 3 (Low),1168,Fiber,NOC-NC,2038-01-07 16:03:01.315708,"5G NR macro cell with Tier 3 (Low) capacity tier, optimized for Highway deployment using Ericsson RAN"
CELL-000003,ENB-00003,Site Gamma 3,SITE-00003,48.173343408693086,-87.96973457297591,Northeast,Dense Urban,Ericsson,5G NR,Tier 4 (Very High),2483,Fiber,NOC-GL,2037-12-08 16:03:01.315708,"Multi-band 5G NR site with Fiber backhaul, Tier 4 (Very High) tier deployment in Dense Urban environment"
CELL-000004,ENB-00004,Metro Gamma 4,SITE-00004,41.516280326774044,-112.26769611566436,Southwest,Dense Urban,Nokia,LTE-A,Tier 4 (Very High),652,Microwave,NOC-SE,2037-11-08 16:03:01.315708,"LTE-A macro cell with Tier 4 (Very High) capacity tier, optimized for Dense Urban deployment using Nokia RAN"
CELL-000005,ENB-00005,Station Alpha 5,SITE-00005,27.50660326789744,-92.42884205828332,Southeast,Rural,Samsung,5G NR,Tier 1 (High),1919,Millimeter Wave,NOC-GU,2037-10-09 16:03:01.315708,"Carrier aggregation enabled 5G NR site with Millimeter Wave transport, serving high-density Rural zone"
CELL-000006,ENB-00006,Tower Alpha 6,SITE-00006,42.58630211250046,-98.20390888864732,Atlantic,Dense Urban,Ericsson,LTE,Tier 3 (Low),3777,Millimeter Wave,NOC-PA,2037-09-09 16:03:01.315708,"Multi-band LTE site with Millimeter Wave backhaul, Tier 3 (Low) tier deployment in Dense Urban environment"
CELL-000007,ENB-00007,Station Beta 7,SITE-00007,34.566028957409074,-82.61991796031734,Mountain,Highway,Nokia,5G NR,Tier 4 (Very High),4863,Hybrid,NOC-SW,2037-08-10 16:03:01.315708,"Nokia 5G NR cell with advanced MIMO configuration, Tier 4 (Very High) capacity serving Highway subscribers"
CELL-000008,ENB-00008,Metro Beta 8,SITE-00008,34.80063308715242,-122.64568327894858,Central,Highway,Nokia,LTE-A,Tier 2 (Medium),2423,Fiber,NOC-NC,2037-07-11 16:03:01.315708,"High-capacity LTE-A cell serving Highway area with Nokia equipment, Fiber backhaul connectivity"
CELL-000009,ENB-00009,Tower Beta 9,SITE-00009,40.36328598337532,-71.12842893436593,Northwest,Rural,Samsung,5G NR,Tier 2 (Medium),4882,Fiber,NOC-SE,2037-06-11 16:03:01.315708,"High-capacity 5G NR cell serving Rural area with Samsung equipment, Fiber backhaul connectivity"
CELL-000010,ENB-00010,Site Gamma 10,SITE-00010,41.80069717044444,-67.51098301684793,Southwest,Suburban,Nokia,LTE,Tier 2 (Medium),2511,Fiber,NOC-GU,2037-05-12 16:03:01.315708,"Carrier aggregation enabled LTE site with Fiber transport, serving high-density Suburban zone"
CELL-000011,ENB-00011,Station Omega 11,SITE-00011,30.630553804936014,-100.25613675967473,Gulf,Suburban,Ericsson,5G NR,Tier 3 (Low),1413,Fiber,NOC-MT,2037-04-12 16:03:01.315708,"Ericsson 5G NR cell with advanced MIMO configuration, Tier 3 (Low) capacity serving Suburban subscribers"
CELL-000012,ENB-00012,Site Delta 12,SITE-00012,40.047342878314375,-72.16949510762487,North Central,Suburban,Nokia,LTE,Tier 1 (High),3352,Fiber,NOC-C,2037-03-13 16:03:01.315708,"High-capacity LTE cell serving Suburban area with Nokia equipment, Fiber backhaul connectivity"
CELL-000013,ENB-00013,Site Beta 13,SITE-00013,40.00387511096257,-102.65539659500728,Mountain,Urban,Ericsson,LTE,Tier 4 (Very High),4462,Fiber,NOC-C,2037-02-11 16:03:01.315708,"Ericsson LTE cell with advanced MIMO configuration, Tier 4 (Very High) capacity serving Urban subscribers"
CELL-000014,ENB-00014,Metro Alpha 14,SITE-00014,30.54283589169264,-76.81483519755659,West,Urban,Samsung,LTE,Tier 2 (Medium),1398,Fiber,NOC-C,2037-01-12 16:03:01.315708,"Carrier aggregation enabled LTE site with Fiber transport, serving high-density Urban zone"
CELL-000015,ENB-00015,Station Delta 15,SITE-00015,35.454222130931214,-105.6302382823789,West,Highway,Samsung,LTE,Tier 3 (Low),648,Millimeter Wave,NOC-SC,2036-12-13 16:03:01.315708,"Samsung LTE cell with advanced MIMO configuration, Tier 3 (Low) capacity serving Highway subscribers"
CELL-000016,ENB-00016,Metro Alpha 16,SITE-00016,40.44754844515062,-103.88601825937498,Mid-Atlantic,Suburban,Ericsson,LTE,Tier 1 (High),2568,Fiber,NOC-W,2036-11-13 16:03:01.315708,"Ericsson LTE cell with advanced MIMO configuration, Tier 1 (High) capacity serving Suburban subscribers"
CELL-000017,ENB-00017,Metro Gamma 17,SITE-00017,25.83663793876734,-67.09990894958945,Mountain,Dense Urban,Nokia,5G NR,Tier 1 (High),2314,Fiber,NOC-NW,2036-10-14 16:03:01.315708,"High-capacity 5G NR cell serving Dense Urban area with Nokia equipment, Fiber backhaul connectivity"
CELL-000018,ENB-00018,Tower Alpha 18,SITE-00018,27.234532870962923,-90.25950473380627,Northwest,Urban,Nokia,LTE,Tier 3 (Low),4631,Fiber,NOC-MA,2036-09-14 16:03:01.315708,"Nokia LTE cell with advanced MIMO configuration, Tier 3 (Low) capacity serving Urban subscribers"
CELL-000019,ENB-00019,Site Gamma 19,SITE-00019,30.67674851969435,-90.34854259533327,Southeast,Highway,Samsung,5G NR,Tier 2 (Medium),3990,Fiber,NOC-MA,2036-08-15 16:03:01.315708,"5G NR macro cell with Tier 2 (Medium) capacity tier, optimized for Highway deployment using Samsung RAN"
CELL-000020,ENB-00020,Tower Omega 20,SITE-00020,29.02169095584712,-69.86639781227491,Pacific,Dense Urban,Nokia,LTE,Tier 4 (Very High),856,Fiber,NOC-NW,2036-07-16 16:03:01.315708,"Multi-band LTE site with Fiber backhaul, Tier 4 (Very High) tier deployment in Dense Urban environment"
CELL-000021,ENB-00021,Station Beta 21,SITE-00021,30.3725330896552,-83.56069028148615,South Central,Urban,Ericsson,5G NR,Tier 4 (Very High),2360,Fiber,NOC-MW,2036-06-16 16:03:01.315708,"Carrier aggregation enabled 5G NR site with Fiber transport, serving high-density Urban zone"
CELL-000022,ENB-00022,Tower Delta 22,SITE-00022,30.811737920893847,-122.82391616390142,North Central,Rural,Nokia,LTE,Tier 4 (Very High),2306,Microwave,NOC-MA,2036-05-17 16:03:01.315708,"Nokia LTE cell with advanced MIMO configuration, Tier 4 (Very High) capacity serving Rural subscribers"
CELL-000023,ENB-00023,Tower Omega 23,SITE-00023,38.26370262417422,-82.45989488836328,Midwest,Urban,Ericsson,5G NR,Tier 3 (Low),1187,Millimeter Wave,NOC-MT,2036-04-17 16:03:01.315708,"Ericsson 5G NR cell with advanced MIMO configuration, Tier 3 (Low) capacity serving Urban subscribers"
CELL-000024,ENB-00024,Site Delta 24,SITE-00024,34.407205572502306,-71.68760657656658,Southwest,Suburban,Ericsson,LTE,Tier 2 (Medium),1467,Fiber,NOC-MW,2036-03-18 16:03:01.315708,"Carrier aggregation enabled LTE site with Fiber transport, serving high-density Suburban zone"
CELL-000025,ENB-00025,Metro Delta 25,SITE-00025,46.974534821809726,-72.09331424421627,Mid-Atlantic,Highway,Ericsson,5G NR,Tier 4 (Very High),3606,Microwave,NOC-W,2036-02-17 16:03:01.315708,"Multi-band 5G NR site with Microwave backhaul, Tier 4 (Very High) tier deployment in Highway environment"
CELL-000026,ENB-00026,Tower Omega 26,SITE-00026,30.210121052494095,-83.10019257749317,Northeast,Highway,Samsung,LTE,Tier 4 (Very High),2862,Fiber,NOC-SW,2036-01-18 16:03:01.315708,"High-capacity LTE cell serving Highway area with Samsung equipment, Fiber backhaul connectivity"
CELL-000027,ENB-00027,Tower Delta 27,SITE-00027,39.921583840076295,-81.11169824709643,North Central,Dense Urban,Samsung,LTE,Tier 3 (Low),1528,Fiber,NOC-AT,2035-12-19 16:03:01.315708,"LTE macro cell with Tier 3 (Low) capacity tier, optimized for Dense Urban deployment using Samsung RAN"
CELL-000028,ENB-00028,Station Omega 28,SITE-00028,43.621990079024606,-114.52556462776437,Central,Urban,Samsung,5G NR,Tier 1 (High),4595,Millimeter Wave,NOC-SC,2035-11-19 16:03:01.315708,"5G NR macro cell with Tier 1 (High) capacity tier, optimized for Urban deployment using Samsung RAN"
CELL-000029,ENB-00029,Station Omega 29,SITE-00029,26.241928592594764,-95.70319303404591,Gulf,Highway,Samsung,LTE-A,Tier 1 (High),4159,Fiber,NOC-NW,2035-10-20 16:03:01.315708,"Samsung LTE-A cell with advanced MIMO configuration, Tier 1 (High) capacity serving Highway subscribers"
CELL-000030,ENB-00030,Metro Beta 30,SITE-00030,44.01975202247919,-110.00873028344958,Great Lakes,Highway,Samsung,LTE,Tier 1 (High),2305,Fiber,NOC-SC,2035-09-20 16:03:01.315708,"Samsung LTE cell with advanced MIMO configuration, Tier 1 (High) capacity serving Highway subscribers"
CELL-000031,ENB-00031,Metro Gamma 31,SITE-00031,44.27236347617933,-122.35231458792529,Midwest,Dense Urban,Samsung,LTE,Tier 1 (High),4251,Fiber,NOC-MA,2035-08-21 16:03:01.315708,"Samsung LTE cell with advanced MIMO configuration, Tier 1 (High) capacity serving Dense Urban subscribers"
CELL-000032,ENB-00032,Tower Gamma 32,SITE-00032,41.4517006086392,-91.79415750446543,Atlantic,Dense Urban,Ericsson,5G NR,Tier 3 (Low),901,Microwave,NOC-SE,2035-07-22 16:03:01.315708,"Multi-band 5G NR site with Microwave backhaul, Tier 3 (Low) tier deployment in Dense Urban environment"
CELL-000033,ENB-00033,Station Omega 33,SITE-00033,37.30565832121768,-103.03047248046997,Mid-Atlantic,Highway,Ericsson,5G NR,Tier 3 (Low),3013,Hybrid,NOC-NW,2035-06-22 16:03:01.315708,"5G NR macro cell with Tier 3 (Low) capacity tier, optimized for Highway deployment using Ericsson RAN"
CELL-000034,ENB-00034,Site Beta 34,SITE-00034,32.23503833912838,-115.49764641989684,Atlantic,Suburban,Nokia,LTE,Tier 4 (Very High),793,Microwave,NOC-C,2035-05-23 16:03:01.315708,"Nokia LTE cell with advanced MIMO configuration, Tier 4 (Very High) capacity serving Suburban subscribers"
CELL-000035,ENB-00035,Tower Omega 35,SITE-00035,33.912738250474234,-69.17710236204861,Northwest,Highway,Nokia,LTE,Tier 3 (Low),2277,Hybrid,NOC-W,2035-04-23 16:03:01.315708,"High-capacity LTE cell serving Highway area with Nokia equipment, Hybrid backhaul connectivity"
CELL-000036,ENB-00036,Site Alpha 36,SITE-00036,38.554471342577735,-79.04057316940035,South Central,Dense Urban,Nokia,5G NR,Tier 4 (Very High),4868,Fiber,NOC-NC,2035-03-24 16:03:01.315708,"Nokia 5G NR cell with advanced MIMO configuration, Tier 4 (Very High) capacity serving Dense Urban subscribers"
CELL-000037,ENB-00037,Tower Beta 37,SITE-00037,29.957843519025005,-123.72024176370272,Northwest,Highway,Ericsson,LTE,Tier 1 (High),3137,Microwave,NOC-SC,2035-02-22 16:03:01.315708,"Ericsson LTE cell with advanced MIMO configuration, Tier 1 (High) capacity serving Highway subscribers"
CELL-000038,ENB-00038,Tower Gamma 38,SITE-00038,34.1428148329157,-76.98410381155117,Southwest,Highway,Ericsson,5G NR,Tier 3 (Low),2881,Hybrid,NOC-MT,2035-01-23 16:03:01.315708,"Multi-band 5G NR site with Hybrid backhaul, Tier 3 (Low) tier deployment in Highway environment"
CELL-000039,ENB-00039,Tower Gamma 39,SITE-00039,34.13142828657706,-72.0463843522426,Mid-Atlantic,Dense Urban,Ericsson,LTE-A,Tier 3 (Low),1480,Fiber,NOC-MT,2034-12-24 16:03:01.315708,"LTE-A macro cell with Tier 3 (Low) capacity tier, optimized for Dense Urban deployment using Ericsson RAN"
CELL-000040,ENB-00040,Tower Delta 40,SITE-00040,34.56486754140849,-82.04077685600363,Mid-Atlantic,Dense Urban,Samsung,LTE,Tier 4 (Very High),617,Fiber,NOC-GL,2034-11-24 16:03:01.315708,"Carrier aggregation enabled LTE site with Fiber transport, serving high-density Dense Urban zone"
CELL-000041,ENB-00041,Site Delta 41,SITE-00041,43.478381027941786,-124.48918686044142,Southeast,Rural,Nokia,5G NR,Tier 4 (Very High),4443,Fiber,NOC-MA,2034-10-25 16:03:01.315708,"Carrier aggregation enabled 5G NR site with Fiber transport, serving high-density Rural zone"
CELL-000042,ENB-00042,Station Omega 42,SITE-00042,38.697505990580765,-65.87468546071689,Mountain,Urban,Samsung,5G NR,Tier 1 (High),4254,Fiber,NOC-SE,2034-09-25 16:03:01.315708,"Samsung 5G NR cell with advanced MIMO configuration, Tier 1 (High) capacity serving Urban subscribers"
CELL-000043,ENB-00043,Metro Gamma 43,SITE-00043,35.236957770341505,-78.62333237620652,Central,Rural,Samsung,LTE-A,Tier 1 (High),4159,Microwave,NOC-SE,2034-08-26 16:03:01.315708,"LTE-A macro cell with Tier 1 (High) capacity tier, optimized for Rural deployment using Samsung RAN"
