attack_signature,threat_name,threat_category,threat_description,mitigation_strategy,cve_references
SIG_00001,INAP Any Time Interrogation Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00002,TCAP Update Location Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential network probing,Alert security operations center,CVE-2021-5118
SIG_00003,MAP Send Authentication Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00004,CAP Update Location Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00005,INAP Update Location Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00006,INAP Send Routing Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00007,CAP Send Routing Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,CVE-2018-7483
SIG_00008,INAP Insert Subscriber Data Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2018-3742
SIG_00009,CAP Send Authentication Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,CVE-2024-4345
SIG_00010,MAP Send Routing Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00011,TCAP Update Location Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00012,INAP Send Authentication Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2023-3964
SIG_00013,CAP Any Time Interrogation Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00014,TCAP Update Location Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00015,INAP Provide Subscriber Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,CVE-2023-3515
SIG_00016,TCAP Any Time Interrogation Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,CVE-2018-7645
SIG_00017,MAP Send Routing Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
