product_id,product_name,product_category,product_subcategory,unit_price,margin_percentage,product_description
PROD000001,Basic Toys & Games Item 0,Toys & Games,Basic,36.66,38.6,Professional-grade Basic offering exceptional performance. Trusted by experts and enthusiasts alike.
PROD000002,Makeup Beauty & Health Item 1,Beauty & Health,Makeup,72.68,22.0,Innovative Makeup solution designed for modern lifestyles. Combines functionality with contemporary design.
PROD000003,Premium Automotive Item 2,Automotive,Premium,13.77,18.9,Best-selling Premium item with excellent customer reviews. Great value for everyday use with durable construction.
PROD000004,Deluxe Books & Media Item 3,Books & Media,Deluxe,49.06,33.7,Premium Deluxe product featuring advanced technology and superior quality. Ideal for discerning customers seeking reliability.
PROD000005,Makeup Beauty & Health Item 4,Beauty & Health,Makeup,45.94,37.1,Premium Makeup product featuring advanced technology and superior quality. Ideal for discerning customers seeking reliability.
PROD000006,Tablets Electronics Item 5,Electronics,Tablets,30.88,30.0,Best-selling Tablets item with excellent customer reviews. Great value for everyday use with durable construction.
PROD000007,Deluxe Automotive Item 6,Automotive,Deluxe,16.35,43.9,Premium Deluxe product featuring advanced technology and superior quality. Ideal for discerning customers seeking reliability.
PROD000008,Basic Automotive Item 7,Automotive,Basic,199.35,40.5,Eco-friendly Basic product made from sustainable materials. Perfect for environmentally conscious consumers.
PROD000009,Premium Pet Supplies Item 8,Pet Supplies,Premium,65.96,36.8,Innovative Premium solution designed for modern lifestyles. Combines functionality with contemporary design.
PROD000010,Deluxe Pet Supplies Item 9,Pet Supplies,Deluxe,5.28,34.7,Best-selling Deluxe item with excellent customer reviews. Great value for everyday use with durable construction.
PROD000011,Basic Automotive Item 10,Automotive,Basic,20.98,24.1,Innovative Basic solution designed for modern lifestyles. Combines functionality with contemporary design.
PROD000012,Audio Electronics Item 11,Electronics,Audio,8.33,22.4,Professional-grade Audio offering exceptional performance. Trusted by experts and enthusiasts alike.
PROD000013,Smartphones Electronics Item 12,Electronics,Smartphones,32.47,16.1,Professional-grade Smartphones offering exceptional performance. Trusted by experts and enthusiasts alike.
PROD000014,Standard Food & Beverage Item 13,Food & Beverage,Standard,11.57,23.7,Innovative Standard solution designed for modern lifestyles. Combines functionality with contemporary design.
PROD000015,Premium Books & Media Item 14,Books & Media,Premium,57.58,44.7,Best-selling Premium item with excellent customer reviews. Great value for everyday use with durable construction.
PROD000016,Accessories Clothing Item 15,Clothing,Accessories,70.24,40.7,Professional-grade Accessories offering exceptional performance. Trusted by experts and enthusiasts alike.
PROD000017,Deluxe Pet Supplies Item 16,Pet Supplies,Deluxe,36.56,22.9,Eco-friendly Deluxe product made from sustainable materials. Perfect for environmentally conscious consumers.
PROD000018,Basic Books & Media Item 17,Books & Media,Basic,24.5,41.4,Innovative Basic solution designed for modern lifestyles. Combines functionality with contemporary design.
PROD000019,Premium Toys & Games Item 18,Toys & Games,Premium,10.59,37.8,Innovative Premium solution designed for modern lifestyles. Combines functionality with contemporary design.
PROD000020,Standard Books & Media Item 19,Books & Media,Standard,98.23,15.2,Best-selling Standard item with excellent customer reviews. Great value for everyday use with durable construction.
