application_id,application_name,business_unit,application_type,criticality,target_lcp_ms,target_fid_ms,target_inp_ms,target_cls,workflow_names,primary_user_segment,application_description,performance_sla
app_0000,Loan Application - Portal,Digital Channels,Credit Card Portal,critical,3000,100,400,0.25,"Loan Application,Card Activation,Statement Download",senior,Banking application for credit operations with focus on accessibility,Target 99.9% availability with page load under 5s for 90% of users
app_0001,Web Banking - Service,Investment,Investment Portal,low,3500,150,300,0.25,"Bill Payment,Login Flow,Card Activation,Loan Application",premium,Banking application for customer transactions with focus on performance,Target 99.9% availability with page load under 4s for 95% of users
app_0002,Investment Portal - Service,Investment,Investment Portal,medium,2500,150,200,0.2,"Account Opening,Statement Download,Investment Purchase,Bill Payment,Profile Update",senior,Banking application for account management with focus on user experience,Target 99.9% availability with page load under 4s for 99% of users
app_0003,Investment Portal - Service,Corporate Banking,Investment Portal,low,3500,100,300,0.15,"Statement Download,Bill Payment,Account Opening",retail,Banking application for investment services with focus on performance,Target 99.5% availability with page load under 5s for 99% of users
app_0004,Web Banking - App,Investment,Credit Card Portal,high,3000,100,400,0.2,"Card Activation,Bill Payment,Support Request,Investment Purchase",senior,Banking application for account management with focus on security,Target 99% availability with page load under 4s for 90% of users
app_0005,Credit Card Portal - Service,Digital Channels,Web Banking,medium,3000,150,200,0.1,"PIX Transfer,Loan Application,Card Activation,Bill Payment,Statement Download",retail,Banking application for investment services with focus on performance,Target 99.5% availability with page load under 5s for 95% of users
app_0006,Investment Portal - Service,Corporate Banking,Loan Application,medium,3500,200,300,0.25,"Investment Purchase,PIX Transfer,Login Flow,Statement Download,Loan Application",retail,Banking application for account management with focus on accessibility,Target 99.5% availability with page load under 5s for 99% of users
app_0007,Mobile Banking - App,Digital Channels,Loan Application,high,3000,150,200,0.1,"Bill Payment,Login Flow,Investment Purchase,Support Request",corporate,Banking application for customer transactions with focus on accessibility,Target 99.5% availability with page load under 5s for 90% of users
app_0008,Loan Application - Platform,Credit & Cards,Loan Application,low,4000,200,300,0.1,"Investment Purchase,Statement Download,Support Request,Card Activation",youth,Banking application for digital banking with focus on security,Target 99.5% availability with page load under 4s for 99% of users
app_0009,Loan Application - Service,Credit & Cards,Investment Portal,medium,2500,200,200,0.2,"Account Opening,Loan Application,Bill Payment,Card Activation,PIX Transfer",corporate,Banking application for investment services with focus on performance,Target 99.9% availability with page load under 5s for 90% of users
app_0010,Investment Portal - Service,Digital Channels,Credit Card Portal,high,3500,100,300,0.2,"Loan Application,Support Request",senior,Banking application for customer transactions with focus on performance,Target 99% availability with page load under 5s for 99% of users
