query_id,@timestamp,host_id,application_id,query_execution_time_ms,data_scanned_gb,rows_returned,query_type,database_name,user_name,query_text
query-0000000,2025-10-26 01:24:12.390374,host-00027,app-0056,219706,333.64,8373232,SELECT,reporting_db,analyst_user,SELECT * FROM reporting_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000001,2025-10-26 01:39:12.390374,host-00137,app-0020,142114,13.89,7402590,SELECT,customer_db,analyst_user,SELECT * FROM customer_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000002,2025-10-26 01:54:12.390374,host-00019,app-0135,176283,51.57,9684498,SELECT,trading_db,reporting_svc,SELECT * FROM trading_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000003,2025-10-26 02:09:12.390374,host-00158,app-0091,185439,155.0,3796522,JOIN,trading_db,etl_user,"INSERT INTO trading_db.daily_summary SELECT account_id, SUM(amount) FROM trading_db.transactions GROUP BY account_id"
query-0000004,2025-10-26 02:24:12.390374,host-00151,app-0052,228161,133.66,3871420,SELECT,customer_db,etl_user,"INSERT INTO customer_db.daily_summary SELECT account_id, SUM(amount) FROM customer_db.transactions GROUP BY account_id"
query-0000005,2025-10-26 02:39:12.390374,host-00162,app-0051,97014,450.13,7158750,ALTER,risk_db,etl_user,CREATE TABLE risk_db.temp_results AS SELECT * FROM risk_db.source_table WHERE status = 'active'
query-0000006,2025-10-26 02:54:12.390374,host-00198,app-0102,177397,25.31,4533319,JOIN,customer_db,app_service,"SELECT t1.*, t2.risk_score FROM customer_db.trades t1 JOIN customer_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000007,2025-10-26 03:09:12.390374,host-00159,app-0080,64645,433.97,4940210,INSERT,trading_db,data_scientist,SELECT * FROM trading_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000008,2025-10-26 03:24:12.390374,host-00026,app-0007,193900,84.96,1845943,CREATE,analytics_db,reporting_svc,CREATE TABLE analytics_db.temp_results AS SELECT * FROM analytics_db.source_table WHERE status = 'active'
query-0000009,2025-10-26 03:39:12.390374,host-00179,app-0060,225266,341.41,3793743,JOIN,analytics_db,reporting_svc,"SELECT t1.*, t2.risk_score FROM analytics_db.trades t1 JOIN analytics_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000010,2025-10-26 03:54:12.390374,host-00068,app-0008,283818,296.83,1374923,CREATE,reporting_db,analyst_user,"SELECT t1.*, t2.risk_score FROM reporting_db.trades t1 JOIN reporting_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000011,2025-10-26 04:09:12.390374,host-00005,app-0081,151874,429.65,9904385,CREATE,risk_db,etl_user,"INSERT INTO risk_db.daily_summary SELECT account_id, SUM(amount) FROM risk_db.transactions GROUP BY account_id"
query-0000012,2025-10-26 04:24:12.390374,host-00193,app-0010,121774,361.98,4776092,SELECT,risk_db,data_scientist,"INSERT INTO risk_db.daily_summary SELECT account_id, SUM(amount) FROM risk_db.transactions GROUP BY account_id"
query-0000013,2025-10-26 04:39:12.390374,host-00141,app-0032,38648,5.06,3655528,INSERT,reporting_db,reporting_svc,SELECT * FROM reporting_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000014,2025-10-26 04:54:12.390374,host-00073,app-0136,42998,180.42,4007560,JOIN,trading_db,app_service,SELECT * FROM trading_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000015,2025-10-26 05:09:12.390374,host-00027,app-0137,139032,135.01,2819572,ALTER,customer_db,etl_user,CREATE TABLE customer_db.temp_results AS SELECT * FROM customer_db.source_table WHERE status = 'active'
query-0000016,2025-10-26 05:24:12.390374,host-00078,app-0108,118272,117.96,6928226,ALTER,reporting_db,etl_user,SELECT * FROM reporting_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000017,2025-10-26 05:39:12.390374,host-00076,app-0096,284900,380.21,6960913,ALTER,risk_db,data_scientist,"SELECT t1.*, t2.risk_score FROM risk_db.trades t1 JOIN risk_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000018,2025-10-26 05:54:12.390374,host-00117,app-0042,48480,42.55,8447858,CREATE,risk_db,analyst_user,SELECT * FROM risk_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000019,2025-10-26 06:09:12.390374,host-00108,app-0027,36726,403.44,8988860,ALTER,analytics_db,analyst_user,CREATE TABLE analytics_db.temp_results AS SELECT * FROM analytics_db.source_table WHERE status = 'active'
query-0000020,2025-10-26 06:24:12.390374,host-00147,app-0088,156897,339.23,3936411,ALTER,risk_db,app_service,"SELECT t1.*, t2.risk_score FROM risk_db.trades t1 JOIN risk_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000021,2025-10-26 06:39:12.390374,host-00104,app-0004,26055,218.31,321361,JOIN,reporting_db,data_scientist,CREATE TABLE reporting_db.temp_results AS SELECT * FROM reporting_db.source_table WHERE status = 'active'
query-0000022,2025-10-26 06:54:12.390374,host-00042,app-0055,144204,321.53,4732705,INSERT,analytics_db,data_scientist,SELECT * FROM analytics_db.transactions WHERE trade_date > '2024-01-01' AND amount > 1000000
query-0000023,2025-10-26 07:09:12.390374,host-00017,app-0089,102497,98.9,6160084,SELECT,analytics_db,analyst_user,CREATE TABLE analytics_db.temp_results AS SELECT * FROM analytics_db.source_table WHERE status = 'active'
query-0000024,2025-10-26 07:24:12.390374,host-00059,app-0129,261273,430.71,4094857,ALTER,risk_db,analyst_user,CREATE TABLE risk_db.temp_results AS SELECT * FROM risk_db.source_table WHERE status = 'active'
query-0000025,2025-10-26 07:39:12.390374,host-00200,app-0093,140889,247.43,3001851,ALTER,analytics_db,analyst_user,"SELECT t1.*, t2.risk_score FROM analytics_db.trades t1 JOIN analytics_db.risk_metrics t2 ON t1.trade_id = t2.trade_id"
query-0000026,2025-10-26 07:54:12.390374,host-00036,app-0013,54158,235.23,4393884,AGGREGATE,customer_db,analyst_user,CREATE TABLE customer_db.temp_results AS SELECT * FROM customer_db.source_table WHERE status = 'active'
