host_id,hostname,host.cpu.model.name,cpu_architecture,cpu_vendor,cpu_cores,memory_gb,datacenter,rack_location,hardware_generation,purchase_date,hourly_compute_cost_usd,licensing_cost_annual_usd,power_consumption_tdp_watts,migration_candidate,host_profile_description
host-00001,host-00001.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,24,96,NYC-DC1,R23-U06,Gen5,2024-03-30 13:09:12.390374,1.214,11051.0,156.0,False,"Legacy Intel hardware scheduled for AMD migration assessment, currently running memory-intensive"
host-00002,host-00002.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,32,128,NYC-DC1,R40-U32,Gen5,2023-05-22 13:09:12.390374,1.365,8049.0,170.0,False,"Legacy Intel hardware scheduled for AMD migration assessment, currently running memory-intensive"
host-00003,host-00003.jpmc.internal,AMD EPYC 7543,x86_64,AMD,96,768,SJC-DC1,R10-U16,Gen4,2025-03-14 13:09:12.390374,0.58,4801.0,212.0,False,AMD compute node in CHI-DC1 providing 768GB RAM for enterprise applications
host-00004,host-00004.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,16,64,DFW-DC1,R07-U27,Gen5,2022-09-21 13:09:12.390374,1.321,14730.0,232.0,False,"Legacy Intel hardware scheduled for AMD migration assessment, currently running memory-intensive"
host-00005,host-00005.jpmc.internal,AMD EPYC 7763,x86_64,AMD,96,384,SJC-DC1,R09-U11,Gen4,2023-08-08 13:09:12.390374,0.876,4911.0,277.0,False,AMD compute node in SJC-DC1 providing 384GB RAM for enterprise applications
host-00006,host-00006.jpmc.internal,Intel Xeon Gold 6248,x86_64,Intel,32,256,CHI-DC1,R03-U39,Gen4,2023-11-29 13:09:12.390374,1.484,8174.0,152.0,True,Intel compute node in NYC-DC1 providing 256GB RAM for enterprise applications
host-00007,host-00007.jpmc.internal,AMD EPYC 7443,x86_64,AMD,32,128,NYC-DC1,R39-U31,Gen3,2022-08-20 13:09:12.390374,0.816,5506.0,265.0,False,High-performance AMD server optimized for I/O-intensive workloads with 32 cores
host-00008,host-00008.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,48,192,DFW-DC1,R12-U07,Gen5,2021-02-20 13:09:12.390374,0.899,11205.0,171.0,False,"Legacy Intel hardware scheduled for AMD migration assessment, currently running I/O-intensive"
host-00009,host-00009.jpmc.internal,AMD EPYC 7713,x86_64,AMD,64,512,CHI-DC1,R09-U35,Gen4,2022-07-05 13:09:12.390374,0.656,5869.0,236.0,False,"Legacy AMD hardware scheduled for AMD migration assessment, currently running memory-intensive"
host-00010,host-00010.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,24,192,NYC-DC1,R38-U31,Gen5,2023-08-21 13:09:12.390374,0.914,10121.0,248.0,False,Modern Intel platform with enhanced security features for financial services compliance
host-00011,host-00011.jpmc.internal,AMD EPYC 7763,x86_64,AMD,96,1536,NYC-DC1,R22-U15,Gen3,2024-11-30 13:09:12.390374,0.788,3387.0,268.0,False,"Legacy AMD hardware scheduled for AMD migration assessment, currently running memory-intensive"
host-00012,host-00012.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,24,96,DFW-DC1,R08-U05,Gen3,2021-12-12 13:09:12.390374,1.354,13551.0,211.0,True,Modern Intel platform with enhanced security features for financial services compliance
host-00013,host-00013.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,16,256,DFW-DC1,R07-U16,Gen5,2021-08-20 13:09:12.390374,1.273,9099.0,239.0,False,High-performance Intel server optimized for memory-intensive workloads with 16 cores
host-00014,host-00014.jpmc.internal,AMD EPYC 7443,x86_64,AMD,32,128,NYC-DC2,R05-U08,Gen3,2023-06-08 13:09:12.390374,0.735,6840.0,234.0,False,High-performance AMD server optimized for memory-intensive workloads with 32 cores
host-00015,host-00015.jpmc.internal,Intel Xeon E5-2690,x86_64,Intel,32,256,NYC-DC1,R25-U04,Gen4,2023-11-16 13:09:12.390374,0.823,13045.0,209.0,True,"Legacy Intel hardware scheduled for AMD migration assessment, currently running memory-intensive"
host-00016,host-00016.jpmc.internal,Intel Xeon Gold 6248,x86_64,Intel,32,512,NYC-DC1,R27-U14,Gen5,2025-05-31 13:09:12.390374,1.254,8971.0,224.0,False,"Legacy Intel hardware scheduled for AMD migration assessment, currently running I/O-intensive"
host-00017,host-00017.jpmc.internal,Intel Xeon Platinum 8280,x86_64,Intel,32,128,NYC-DC2,R38-U20,Gen4,2021-02-13 13:09:12.390374,0.993,11400.0,219.0,True,Modern Intel platform with enhanced security features for financial services compliance
host-00018,host-00018.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,32,256,SJC-DC1,R39-U08,Gen3,2024-06-19 13:09:12.390374,1.26,9282.0,192.0,True,Intel compute node in CHI-DC1 providing 256GB RAM for enterprise applications
host-00019,host-00019.jpmc.internal,Intel Xeon Gold 6248,x86_64,Intel,16,64,CHI-DC1,R39-U39,Gen3,2023-12-30 13:09:12.390374,1.202,8896.0,185.0,True,"Legacy Intel hardware scheduled for AMD migration assessment, currently running memory-intensive"
host-00020,host-00020.jpmc.internal,Intel Xeon Gold 5220,x86_64,Intel,24,96,SJC-DC1,R22-U12,Gen4,2022-08-18 13:09:12.390374,0.831,11992.0,179.0,True,High-performance Intel server optimized for compute-intensive workloads with 24 cores
