embedding_id,asset_ref_title,visual_caption,source_asset_id,embedding_model_version,modality,owner_account_id,capture_date
EMB-10042,Modern Kitchen Interior - Vibrant Logo Lockup,"A graphic-design graphic-design featuring a spring collection promotional banner with pastel tones, floral motifs, and discount badge elements for e-commerce and email marketing campaigns. Title: Modern Kitchen Interior - Vibrant Logo Lockup.",BA-001651,clip-vit-base-patch32-v2,graphic-design,ACC-4312,2025-11-24
EMB-10043,Case Study Visual - Soft Poster,"A vibrant promotional banner graphic for a summer promotion campaign, featuring bold typography, a discount badge overlay, and lifestyle imagery of a coffee shop storefront. This video-frame is designed as an Instagram story template and email header graphic for seasonal campaign use. See also: Case Study Visual - Soft Poster.",BA-001651,clip-vit-base-patch32-v2,video-frame,ACC-2712,2025-12-31
EMB-10044,Seasonal Campaign Visual - Saturated Illustration,"This image presents a vintage-style map illustration of a fictional city, rendered with hand-drawn cartographic elements and aged parchment texture. Used as a decorative asset for themed events. Title: Seasonal Campaign Visual - Saturated Illustration.",BA-001651,clip-vit-base-patch32-v2,image,ACC-4112,2026-02-12
EMB-10045,Coffee Cup Close-Up - Warm Graphic,"This document-visual presents an abstract geometric pattern in muted blue and grey tones, generated as a background texture asset for general design library use. The composition features repeating hexagonal shapes with subtle gradient overlays. Asset title: Coffee Cup Close-Up - Warm Graphic.",BA-001370,clip-vit-large-patch14-v1,document-visual,ACC-2567,2026-01-11
EMB-10046,Salad Bowl Overhead - Saturated Poster,"A logo-vector document-visual featuring a simplified icon lockup for a coffee brand, rendered in scalable format for use across coffee shop signage, loyalty cards, and digital brand identity applications. Title: Salad Bowl Overhead - Saturated Poster.",BA-006911,google-multimodal-embed-v1,document-visual,ACC-2801,2026-01-13
EMB-10047,Virtual Tour Still - Bold Banner,"This image presents a minimalist black-and-white portrait photograph of an unidentified person in profile view, shot in a studio setting with dramatic side lighting. Generic editorial portrait for unspecified use. Reference: Virtual Tour Still - Bold Banner.",BA-006514,clip-vit-large-patch14-v1,image,ACC-5534,2026-03-10
EMB-10048,Espresso Bar Setup - Artisan Logo Lockup,"A graphic-design image featuring a spring collection promotional banner with pastel tones, floral motifs, and discount badge elements for e-commerce and email marketing campaigns. Title: Espresso Bar Setup - Artisan Logo Lockup.",BA-006514,elastic-elser-v2-visual,image,ACC-2712,2025-12-08
EMB-10049,Spring Collection Lookbook - Product-Focused Badge,"A logo-vector graphic-design featuring a simplified icon lockup for a coffee brand, rendered in scalable format for use across coffee shop signage, loyalty cards, and digital brand identity applications. Title: Spring Collection Lookbook - Product-Focused Badge.",BA-006514,clip-vit-large-patch14-v1,graphic-design,ACC-1042,2026-01-28
EMB-10050,Case Study Visual - Soft Logo Lockup,"This logo-vector features a loyalty program graphic with loyalty card design elements, QR code placeholder, and brand wordmark, suitable for print and digital loyalty program deployment. Asset reference: Case Study Visual - Soft Logo Lockup.",BA-006232,clip-vit-base-patch32-v2,logo-vector,ACC-4234,2025-12-05
EMB-10051,Restaurant Dining Scene - Rustic Template,"This image presents a case study visual with data visualization overlays and branded typography, serving as visual identity collateral for B2B marketing and client presentation decks. Asset reference: Restaurant Dining Scene - Rustic Template.",BA-006232,clip-vit-large-patch14-v1,image,ACC-1412,2025-12-19
