customer_id,customer_name,customer_segment,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_segment,lifetime_revenue,predicted_clv,churn_probability,last_purchase_date,purchase_count,preferred_channel,channel_mix_ratio,customer_behavior_profile
CUST000001,Customer 1,Potential Loyalists,4,2,4,Potential Loyalists,503.58,921.46,0.247,2025-11-04 09:00:20.082623,58,e-commerce,0.44,Loyal e-commerce customer with consistent monthly purchases. Prefers digital wallet payment. Strong brand affinity in Home & Garden category.
CUST000002,Customer 2,Potential Loyalists,3,4,2,Potential Loyalists,47.11,74.18,0.203,2025-10-14 09:00:20.082623,20,e-commerce,0.6,Loyal e-commerce customer with consistent monthly purchases. Prefers digital wallet payment. Strong brand affinity in Books & Media category.
CUST000003,Customer 3,About to Sleep,2,4,3,About to Sleep,526.47,1235.76,0.35,2025-09-30 09:00:20.082623,125,e-commerce,0.75,Multi-channel customer (75% online) focusing on Toys & Games and Home & Garden. Price-sensitive with seasonal purchasing patterns.
CUST000004,Customer 4,Need Attention,4,3,4,Need Attention,12.85,19.67,0.392,2025-07-21 09:00:20.082623,44,in-store,0.68,At-risk profile showing declining engagement. Historical focus on Pet Supplies. Requires targeted retention campaigns.
CUST000005,Customer 5,Need Attention,3,3,3,Need Attention,3047.13,4057.28,0.462,2025-08-09 09:00:20.082623,86,e-commerce,0.22,Multi-channel customer (22% online) focusing on Books & Media and Toys & Games. Price-sensitive with seasonal purchasing patterns.
CUST000006,Customer 6,Champions,4,5,4,Champions,368.43,742.35,0.011,2025-08-25 09:00:20.082623,142,in-store,0.58,Loyal in-store customer with consistent monthly purchases. Prefers debit card payment. Strong brand affinity in Toys & Games category.
CUST000007,Customer 7,Potential Loyalists,3,2,4,Potential Loyalists,56.16,102.45,0.338,2025-09-30 09:00:20.082623,134,e-commerce,0.74,Loyal e-commerce customer with consistent monthly purchases. Prefers credit card payment. Strong brand affinity in Home & Garden category.
CUST000008,Customer 8,About to Sleep,4,3,3,About to Sleep,2182.95,4807.4,0.454,2025-11-11 09:00:20.082623,79,e-commerce,0.16,Loyal e-commerce customer with consistent monthly purchases. Prefers digital wallet payment. Strong brand affinity in Sports & Outdoors category.
CUST000009,Customer 9,New Customers,3,4,2,New Customers,786.32,1035.88,0.487,2025-10-25 09:00:20.082623,144,in-store,0.42,Multi-channel customer (42% online) focusing on Food & Beverage and Sports & Outdoors. Price-sensitive with seasonal purchasing patterns.
CUST000010,Customer 10,At Risk,2,3,2,At Risk,243.04,317.0,0.816,2025-10-17 09:00:20.082623,124,in-store,0.58,High-value in-store shopper with preference for Books & Media. Responds well to Direct Mail campaigns. Average basket size $1.
