asset_id,asset_title,asset_description,asset_type,content_category,business_vertical,campaign_theme,color_palette_tags,file_format,owner_account_id,is_active,upload_date,reuse_count,aspect_ratio
BA-100001,Style Studio Promotional Banner - Cold Weather Comfort,An archived Promotional Banner resource associated with Fashion & Apparel operations and the Winter Warmth initiative. Color tagging reflects the navy-gold-premium palette used during the original design phase. This item is retained in the catalog for historical reference and potential future reuse. No active campaign deployment is currently scheduled for this asset.,Promotional Banner,Email Marketing,Fashion & Apparel,Winter Warmth,['navy-gold-premium'],SVG,ACC-1050,False,2025-12-29,6,9:16
BA-100002,Coffee Shop Social Media Graphic - Eco-Friendly,"A campaign-ready Social Media Graphic developed for Food & Beverage businesses participating in Sustainability Initiative initiatives. The bold-red-gold palette drives visual cohesion across this suite of promotional content and brand materials. This marketing graphic is engineered for multi-channel deployment, from social content to email marketing assets. It reflects current design standards for business signage and digital visual collateral in competitive verticals.",Social Media Graphic,Brand Identity,Food & Beverage,Sustainability Initiative,['bold-red-gold'],PNG,ACC-1030,True,2026-02-25,27,1:1
BA-100003,Community Shop Quote Graphic - VIP Access,Generic Quote Graphic template stored in the asset library for General Small Business account holders. The forest-green-gold palette designation was auto-assigned during the upload workflow. This asset is classified under VIP Member Exclusive for reporting and filtering purposes. Content has not been reviewed for active campaign deployment at this time.,Quote Graphic,Food & Beverage Imagery,General Small Business,VIP Member Exclusive,['forest-green-gold'],PNG,ACC-1003,True,2026-01-09,1,9:16
BA-100004,Software Company Instagram Story Template - Milestone Offer,"Built for SaaS & Technology brands executing a Anniversary Celebration strategy, this Instagram Story Template delivers clean visual collateral with a navy-gold-premium palette. The asset is structured to serve as adaptable brand material for multiple marketing channels. Campaign assets like this one are designed for reuse across promotional content cycles. The layout supports both static and animated deployment as a marketing graphic or business signage piece.",Instagram Story Template,Brand Identity,SaaS & Technology,Anniversary Celebration,"['navy-gold-premium', 'charcoal-white-minimal']",SVG,ACC-1003,True,2025-11-16,6,4:3
BA-100005,Marketing Agency Product Photo - Creator Partnership,Generic Product Photo template stored in the asset library for Professional Services account holders. The electric-neon palette designation was auto-assigned during the upload workflow. This asset is classified under Influencer Collab for reporting and filtering purposes. Content has not been reviewed for active campaign deployment at this time.,Product Photo,Brand Identity,Professional Services,Influencer Collab,"['electric-neon', 'blush-rose-gold']",JPEG,ACC-1003,True,2026-01-12,9,1:1
BA-100006,Tech Startup Quote Graphic - Season's Best,This Quote Graphic represents a draft-stage design asset for SaaS & Technology stakeholders. The fresh-green-white palette was specified in the creative brief but has not been finalized. It is catalogued under Holiday Sale pending further review by the brand team. Metadata fields are populated for discoverability but content may require revision before use.,Quote Graphic,Email Marketing,SaaS & Technology,Holiday Sale,"['fresh-green-white', 'cool-blue-silver']",PDF,ACC-1016,True,2026-01-28,4,4:5
BA-100007,Community Shop Logo - Study Season,This Logo represents a draft-stage design asset for General Small Business stakeholders. The forest-green-gold palette was specified in the creative brief but has not been finalized. It is catalogued under Back to School pending further review by the brand team. Metadata fields are populated for discoverability but content may require revision before use.,Logo,Brand Identity,General Small Business,Back to School,['forest-green-gold'],MP4,ACC-1017,True,2025-12-18,9,16:9
BA-100008,Wellness Center GIF Animation - Summer Sale,"A polished GIF Animation asset tailored for Fitness & Wellness use cases, aligned with the Summer Promotion campaign narrative. The vibrant-tropical color treatment gives this marketing material a distinctive look that supports brand consistency. This promotional graphic works well as campaign collateral across email, web, and print environments. The visual identity elements have been refined to suit both digital-first and physical marketing contexts.",GIF Animation,Brand Identity,Fitness & Wellness,Summer Promotion,['vibrant-tropical'],PNG,ACC-1002,False,2025-11-11,6,16:9
BA-100009,Small Business Menu Board - Quick Sale,Generic Menu Board template stored in the asset library for General Small Business account holders. The forest-green-gold palette designation was auto-assigned during the upload workflow. This asset is classified under Flash Sale for reporting and filtering purposes. Content has not been reviewed for active campaign deployment at this time.,Menu Board,Customer Testimonial,General Small Business,Flash Sale,['forest-green-gold'],JPEG,ACC-1036,False,2025-12-12,1,4:5
BA-100010,Fitness Studio Logo - New Arrival,Generic Logo template stored in the asset library for Fitness & Wellness account holders. The warm-earth-tones palette designation was auto-assigned during the upload workflow. This asset is classified under Product Launch for reporting and filtering purposes. Content has not been reviewed for active campaign deployment at this time.,Logo,Product Showcase,Fitness & Wellness,Product Launch,['warm-earth-tones'],PNG,ACC-1015,True,2026-02-07,1,9:16
BA-100011,Gym Promotional Banner - Date Night Special,"Designed as a flagship Promotional Banner for Fitness & Wellness brands, this piece integrates brand identity principles with Valentine's Day Special campaign goals. The olive-terracotta palette reinforces seasonal promotion messaging including summer promotion and holiday sale themes. It includes quote graphic overlays, customer testimonial campaign visuals, and loyalty program badge elements. Optimized for Instagram story template dimensions and social media graphic repurposing across platforms.",Promotional Banner,Seasonal Promotion,Fitness & Wellness,Valentine's Day Special,['olive-terracotta'],PDF,ACC-1040,True,2026-01-19,1,9:16
BA-100012,Italian Kitchen GIF Animation - Customer Love,"This GIF Animation is a core brand identity asset designed for Food & Beverage businesses, featuring bright-citrus-yellow color palette. It includes logo variations and menu board layouts optimized for Customer Testimonial Campaign campaigns. The collateral supports food and beverage signage, loyalty program graphics, and Instagram story templates. Ideal for seasonal promotions including summer promotion and holiday sale contexts across digital and print channels.",GIF Animation,Loyalty & Rewards,Food & Beverage,Customer Testimonial Campaign,['bright-citrus-yellow'],PDF,ACC-1027,True,2025-12-30,10,1:1
BA-100013,Bookstore Loyalty Card - Brand Evolution,"Built for Retail & E-commerce brands executing a Brand Refresh strategy, this Loyalty Card delivers clean visual collateral with a blush-rose-gold palette. The asset is structured to serve as adaptable brand material for multiple marketing channels. Campaign assets like this one are designed for reuse across promotional content cycles. The layout supports both static and animated deployment as a marketing graphic or business signage piece.",Loyalty Card,Seasonal Promotion,Retail & E-commerce,Brand Refresh,"['blush-rose-gold', 'charcoal-white-minimal']",PSD,ACC-1022,True,2026-02-01,1,16:9
BA-100014,CrossFit Box Email Template Header - New Year Goals,An archived Email Template Header resource associated with Fitness & Wellness operations and the New Year New You initiative. Color tagging reflects the bright-citrus-yellow palette used during the original design phase. This item is retained in the catalog for historical reference and potential future reuse. No active campaign deployment is currently scheduled for this asset.,Email Template Header,Customer Testimonial,Fitness & Wellness,New Year New You,"['bright-citrus-yellow', 'sunset-orange-coral']",PNG,ACC-1050,True,2026-03-09,10,16:9
BA-100015,Consulting Agency Flyer - Modern Rebrand,"A polished Flyer asset tailored for Professional Services use cases, aligned with the Brand Refresh campaign narrative. The lavender-lilac color treatment gives this marketing material a distinctive look that supports brand consistency. This promotional graphic works well as campaign collateral across email, web, and print environments. The visual identity elements have been refined to suit both digital-first and physical marketing contexts.",Flyer,Seasonal Promotion,Professional Services,Brand Refresh,"['lavender-lilac', 'sky-blue-white']",JPEG,ACC-1010,False,2025-11-29,6,3:2
BA-100016,Local Business Promotional Banner - Fresh Spring Looks,An archived Promotional Banner resource associated with General Small Business operations and the Spring Collection initiative. Color tagging reflects the blush-rose-gold palette used during the original design phase. This item is retained in the catalog for historical reference and potential future reuse. No active campaign deployment is currently scheduled for this asset.,Promotional Banner,Product Showcase,General Small Business,Spring Collection,"['blush-rose-gold', 'electric-neon']",MP4,ACC-1045,True,2026-01-10,14,4:3
BA-100017,App Brand Email Template Header - Authentic Italian,"A polished Email Template Header asset tailored for SaaS & Technology use cases, aligned with the Italian Cuisine Feature campaign narrative. The forest-green-gold color treatment gives this marketing material a distinctive look that supports brand consistency. This promotional graphic works well as campaign collateral across email, web, and print environments. The visual identity elements have been refined to suit both digital-first and physical marketing contexts.",Email Template Header,Brand Identity,SaaS & Technology,Italian Cuisine Feature,['forest-green-gold'],JPEG,ACC-1001,True,2025-12-26,0,1:1
BA-100018,Online Store Menu Board - Spring Refresh,This Menu Board represents a draft-stage design asset for Retail & E-commerce stakeholders. The muted-sage-taupe palette was specified in the creative brief but has not been finalized. It is catalogued under Spring Collection pending further review by the brand team. Metadata fields are populated for discoverability but content may require revision before use.,Menu Board,Customer Testimonial,Retail & E-commerce,Spring Collection,['muted-sage-taupe'],JPEG,ACC-1011,True,2026-02-13,2,9:16
BA-100019,Law Firm Flyer - Festive Sale,Generic Flyer template stored in the asset library for Professional Services account holders. The navy-gold-premium palette designation was auto-assigned during the upload workflow. This asset is classified under Holiday Sale for reporting and filtering purposes. Content has not been reviewed for active campaign deployment at this time.,Flyer,Food & Beverage Imagery,Professional Services,Holiday Sale,['navy-gold-premium'],JPEG,ACC-1003,True,2025-12-07,4,1:1
BA-100020,Home Listings Social Media Graphic - Summer Sale,"Built for Real Estate brands executing a Summer Promotion strategy, this Social Media Graphic delivers clean visual collateral with a rich-chocolate-caramel palette. The asset is structured to serve as adaptable brand material for multiple marketing channels. Campaign assets like this one are designed for reuse across promotional content cycles. The layout supports both static and animated deployment as a marketing graphic or business signage piece.",Social Media Graphic,Seasonal Promotion,Real Estate,Summer Promotion,"['rich-chocolate-caramel', 'monochrome-black-white']",JPEG,ACC-1005,False,2025-12-05,21,9:16
BA-100021,Pizzeria Quote Graphic - Warm Winter Deals,"This Quote Graphic was created to support Food & Beverage marketing efforts during the Winter Warmth campaign period. Using a sunset-orange-coral visual style, the asset functions as promotional content across digital channels. The design balances brand materials with campaign-specific visual collateral, ensuring consistency across touchpoints. It is suitable for use in business signage, social content, and marketing graphics deployments.",Quote Graphic,Lifestyle & Editorial,Food & Beverage,Winter Warmth,['sunset-orange-coral'],JPEG,ACC-1030,True,2025-11-21,4,16:9
BA-100022,Pizzeria Product Photo - Flash Deal,"Built for Food & Beverage brands executing a Flash Sale strategy, this Product Photo delivers clean visual collateral with a blush-rose-gold palette. The asset is structured to serve as adaptable brand material for multiple marketing channels. Campaign assets like this one are designed for reuse across promotional content cycles. The layout supports both static and animated deployment as a marketing graphic or business signage piece.",Product Photo,Customer Testimonial,Food & Beverage,Flash Sale,['blush-rose-gold'],AI,ACC-1041,True,2025-11-27,0,4:5
BA-100023,Italian Kitchen Signage - Anniversary Sale,"This Signage supports Food & Beverage promotional content needs within the Anniversary Celebration campaign framework. Rendered in a warm-earth-tones color scheme, it provides a flexible marketing graphic that adapts to various formats. The asset functions as visual collateral for social content, email campaigns, and physical display materials. Brand materials of this type are optimized for high reuse across seasonal and evergreen campaign cycles.",Signage,Food & Beverage Imagery,Food & Beverage,Anniversary Celebration,['warm-earth-tones'],PDF,ACC-1002,True,2026-02-13,2,16:9
BA-100024,Local Business Loyalty Card - Local Heroes,This Loyalty Card is a general-purpose design template available for General Small Business use cases. The sky-blue-white color configuration was selected based on internal style guide recommendations. File metadata has been validated for compliance with platform upload standards. Administrative tagging reflects the Community Spotlight campaign classification for archival purposes.,Loyalty Card,Food & Beverage Imagery,General Small Business,Community Spotlight,['sky-blue-white'],SVG,ACC-1013,True,2025-11-15,0,4:5
