tenant_id,tenant_name,account_tier,contract_arr,renewal_date,customer_success_manager,sla_target_p95_ms,industry_vertical
TNT-01000,United Inc,Standard,50000,2026-09-16 01:45:03.113161,Lisa Patel,300,Media & Entertainment
TNT-01001,United Group,Standard,50000,2026-09-19 01:45:03.113161,Michael Rodriguez,500,Manufacturing
TNT-01002,Premier Corp,Professional,25000,2026-03-10 01:45:03.113161,Jennifer Lee,750,Media & Entertainment
TNT-01003,Premier Industries,Standard,100000,2026-11-04 01:45:03.113161,James Kim,400,Travel & Hospitality
TNT-01004,Apex Group,Enterprise,100000,2026-05-12 01:45:03.113161,James Kim,500,Media & Entertainment
TNT-01005,Summit Solutions,Professional,1000000,2026-05-18 01:45:03.113161,Maria Garcia,500,Healthcare
TNT-01006,Summit Industries,Standard,1000000,2025-12-25 01:45:03.113161,James Kim,400,Manufacturing
TNT-01007,Premier Solutions,Professional,2500000,2026-11-05 01:45:03.113161,Chris Anderson,300,Travel & Hospitality
TNT-01008,Acme Corp,Enterprise,250000,2026-05-19 01:45:03.113161,Michael Rodriguez,300,Travel & Hospitality
TNT-01009,Apex Corp,Standard,500000,2025-11-13 01:45:03.113161,David Thompson,500,Travel & Hospitality
TNT-01010,Global Solutions,Standard,100000,2026-04-26 01:45:03.113161,Jennifer Lee,500,Healthcare
TNT-01011,United Corp,Standard,250000,2026-10-18 01:45:03.113161,David Thompson,500,Healthcare
TNT-01012,United Group,Professional,50000,2025-12-17 01:45:03.113161,Lisa Patel,300,Retail
TNT-01013,Acme Inc,Standard,50000,2026-08-22 01:45:03.113161,Michael Rodriguez,500,Telecommunications
TNT-01014,Acme Group,Standard,100000,2026-06-25 01:45:03.113161,David Thompson,500,Manufacturing
TNT-01015,Summit LLC,Professional,25000,2026-08-23 01:45:03.113161,Emily Watson,750,Financial Services
TNT-01016,Global Corp,Professional,100000,2026-03-17 01:45:03.113161,Emily Watson,750,Retail
TNT-01017,Acme Inc,Standard,250000,2026-02-04 01:45:03.113161,Jennifer Lee,500,Travel & Hospitality
TNT-01018,United Industries,Professional,100000,2026-07-22 01:45:03.113161,Lisa Patel,400,Media & Entertainment
TNT-01019,United LLC,Enterprise,1000000,2026-05-31 01:45:03.113161,David Thompson,300,Retail
TNT-01020,Acme Corp,Standard,250000,2026-09-19 01:45:03.113161,Emily Watson,500,Retail
TNT-01021,Premier LLC,Enterprise,250000,2026-05-06 01:45:03.113161,Robert Johnson,300,Financial Services
TNT-01022,Apex Group,Professional,100000,2026-10-11 01:45:03.113161,Michael Rodriguez,300,Telecommunications
TNT-01023,Summit Corp,Standard,100000,2026-08-15 01:45:03.113161,Sarah Chen,500,Media & Entertainment
TNT-01024,Apex LLC,Standard,25000,2025-11-11 01:45:03.113161,David Thompson,500,Retail
